anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
এমনকি যদি আমি উন্মাদভাবে মাতাল ও হয়ে থাকতাম, আমি তাও এই পিজ্জাটা জোর করেখেতে পারতাম না।	আমি উন্মাদভাবে মাতাল হয়ে থাকলেও পিজ্জাটা খেয়ে নিতে পারতাম ।	স্লাইডার রান্না করতে খুব একটা সময় লাগে না !	আমাদের স্লাইডার রান্না করতে খুব একটা সময় লাগে নি !	1	simplicity	bengali
দরজাটা একদমই খুলছিল না ।	দরজাটা সহজে খোলা যাচ্ছিল ।	আমরা এখানে আগে অনেকবারই খেয়েছি তবে কালকের মতো  খারাপ কোনবার ছিল না ।	ওখানে আগে অনেকবার এখানে খেয়েছি তবে এতো ভালো কখনো ছিল না ।	1	simplicity	bengali
এটা পুরনো এবং সেকেলে দেখাচ্ছে ।	এটা নতুন এবং আধুনিক দেখাচ্ছে ।	আমি যদি আরও কম সটার দিতে পারতাম, তাই দিতাম ।	যদি আমি আর স্টার দিতে পারতাম, আমি তাই দিতাম ।	1	simplicity	bengali
আমরা ওদের জানালাম যে অনারা ভুলে যেতে পারে, আমরা আর অপেক্ষা করবো না ।	আমরা জানিয়েছিলাম যে এতে কোন ব্যাপার না এবং আমরা অপেক্ষা করব ।	আমি কোনভাবেই ক্যাম্পিং ওয়ার্ল্ড থেকে কেনার সুপারিশ করব না ।	আমি সবভাবেই ক্যাম্পিং ওয়ার্ল্ড থেকে কেনার সুপারিশ করব না ।	1	simplicity	bengali
শূন্য স্টার দেওয়ার কোন উপায়ে আছে?	আমি এটাতে পাঁচটা স্টার দেব ।	সেখানে শুধু মাংস আর পাউরুটি ছিল।	সেখানে অনেক ধরনের মাংস এবং পাউরুটি ছিল।	1	simplicity	bengali
আমাকে ক্ষুধার্ত এবং অতৃপ্ত অবস্থায়ে বেরিয়ে যেতে হয়েছিল ... আর ওদিকে কখনো আসব না।	আমি পরিপূর্ণ এবং সন্তুষ্ট হয়ে ফিরেছিলাম ... আবার ওদিকে যাব ।	তারা যাই বলুক না কেন, লিখিতভাবে চেয়ে নিও ।	তারা যাই বলে, লিখিতভাবে দিয়ে দায়ে ।	1	simplicity	bengali
ম্যানেজমেন্টের কোন যায়ে আসেনা ।	ম্যানেজমেন্ট খুব যত্নশীল ।	আমি যদি ম্যানেজার হতাম, আমি তক্ষুনি ঘটনাস্থলেই বাচ্চাটাকে বেড় করে দিতাম ।	আমি যদি ম্যানেজার হতাম, আমি তক্ষুনি ঘটনাস্থলেই বাচ্চাটাকে উপরের পদে বসিয়ে দিতাম।	1	simplicity	bengali
সম্ভবত ব্রেড বিনামূল্যে দেওয়া উচিত ।	ব্রেড বিনামূল্যে দেওয়া হচ্ছিল ।	প্রথম কামড়ের পর তোমার খিদে একদম চলে যাবে ।	প্রথম কামড়ের পর তুমি আরও চাইবে ।	1	simplicity	bengali
সবশেষে, ব্রাউনি ডিসার্টের স্বাদ বেশ খারাপ ছিল ।	সবশেষে, ব্রাউনি ডিসার্টেটা খেতে অসাধারণ ছিল ।	অশা করি, আমি আমার সাথে কোন ছারপোকা নিয়ে আসবনা ।	জায়গাটা পরিষ্কার এবং পরিছন্ন ছিল ।	1	simplicity	bengali
পরিষেবাটি মাঝারি এবং রেস্তরাঁটি মোটামোটি ছিল ।	পরিষেবাটি অসাধারণ এবং রেস্তরাঁটি খুবই ভালো ।	জন্মদিনের চমক এবং তার বিশেষ দিন দুটোই নষ্ট হয়ে গেল ।	তার জন্মদিনের চমক এবং তার বিশেষ দিন দুটোই খুব সুন্দর ভাবে কেটেছে ।	1	simplicity	bengali
