positive	negative	style_type	language
Salut à toi et aux autres !	salut a toi et aux autres amis	formality	fr
La danse des canards, c'est très festif et la fête c'est ce qui rapproche les gens.	la dans des canars c'est très festif et la fête c'est ce qui rapproche les gens	formality	fr
Bianca: Elle a la plus belle poitrine que j'aie jamais vu.	Bianca:la plus belle poitrine que j'aie jamais vu!!!	formality	fr
Si tu as eu une mauvaise attitude à leur égard, dis-leur que tu y travailles.	si tu as eu une mauvaise attitude avec eux ,dis leur que tu vas essayer de changer.	formality	fr
Les erreurs!	wouh les fautes!!!	formality	fr
Laissez-la donc... Cette malheureuse est en faute, ça suffit!	Laisse béton !Une malheureuse par sa faute ça suffit !	formality	fr
J'ai hâte à ce soir pour que je pratique un peu.	grrrrrrrrrrrrrrrrvivement ce soir que je patique un peu	formality	fr
Oui c'est sûr, laisse faire le temps mais pas trop tout de même.	oui c'est clair laisse faire le temps mais pas trop quand même	formality	fr
Un ami, dans notre époque, c'est très rare pour éviter de dire inexistant.	un ami dans notre époque est très rare si je ne dis inexistant.	formality	fr
J'en rigole si tu le penses vraiment, par ailleurs dis-le et tu verras bien!	lol si tu le penses dis le tu verras bien :)	formality	fr
Nous souhaitons les pseudonymes.	On veut les pseudos !!!!	formality	fr
Je n'ai pas essayé mais il paraît que ça abîme les yeux.	pas testé nonmais il paraît que ça brûle les yeux	formality	fr
Même sans en arriver là, je ne les jugerais pas négativement.	même en n’allant pas jusque là, je ne les jugerais pas mal.	formality	fr
Je l'ai vu le jour de son départ pour le Darfour avec une mission pour médecin du monde.	je l'ai vu le jour de son depart pour le darfour avec une mission de medecin du monde.	formality	fr
Tu pourras dire des choses à ta meilleure amie que tu ne pourras pas dire à ta petite amie.	Il y a des chose que tu pourras dire a ta meilleure amie et pas a ta petite amie	formality	fr
D'abord la sensualité et le charme de la personne, ensuite leurs jambes et leurs yeux.	d'abord la senualité et le charme qui sont en elle, leur jambes et leurs yeux.	formality	fr
Je n'en vois pas l'intérêt pour moi, c'est non.	J'en vois pas l'intérêt pour moi c'est non.	formality	fr
Lâchez vos ennuis.	!laisse de cote tes inquietudes et fonce !!!!	formality	fr
Il t'aime et ne veut pas te faire souffrir. Mais il a l'impression de le faire donc il ne va pas rester longtemps.	il t'aime et  veut pas te faire souffrir mais a l'impression de le faire donc il va pas rester longtemps.	formality	fr
Eh bien, je vous le dis, c'est difficile. C'est illogique, pas une bonne chose et une mauvaise chose.	bon je te dit c dur c pas logique c pas sa bon c qlqchose pas bien	formality	fr
Il faut y aller doucement.	Faut y aller doucement.	formality	fr
Tout dépend de la réponse que tu as divulguée, si tu as emprunté et signé alors dans ce cas, tu es d'autant plus responsable, avec les impayés.	"tout dépend si tu as toi aussi ""emprunté"" et signé, dans ce cas tu es aussi responsable des impayés."	formality	fr
Le film est divertissant, c'est vrai.	le film est bien, c'est vrai*	formality	fr
À l'époque on appelait ça des espions et on les fusillait en temps de guerre!	A l'époque on appelait ça des espions et on les fusiller en temps de guerre !	formality	fr
Bonjour, on peut certainement trouver la norme dans le respect.	bOjOur,la nOrme dites vOus, c'est peut être dans le respect que l'On peut la trOuver.	formality	fr
Lorsqu'une fille ou bien un garçon te dit qu'il veut réfléchir cela signifie que c'est terminé mais avec une certaine mise en forme.	quand une fille ou un gars te dit qu'il ou elle veut réfléchir c'est que c'est fini mais qu'ils y mattent des formes.	formality	fr
Tu vas sur les Champs-Élysées vers huit ou neuf heures du soir et tu tends un billet de cent euros en l'air!	eh bien tu vais sur les champs elysée vers 8-9h du soir et tu tends un billet de 100 euro en l'air!	formality	fr
Apparemment, nous ne sommes pas du même monde.	APPAREMMENT ON EST PA DU MEME MONDE	formality	fr
Non mais ça fait beaucoup de dégâts dans le couple ça c'est sûr!	non mais ça fait beaucoup de dégâts dans le couple ça c'est sur!	formality	fr
Si elle voulait profiter de moi pour pouvoir venir, je ne la verrais plu.	Si elle voulait se servir de moi pour venir, je n'aurais plus de contact.	formality	fr
Je n'en suis pas sûr.	?je ne pense pas	formality	fr
C'est effectivement nous qui allons vous détester si tu nous laisses ici.	c'est nous qui allons faire la gueule si tu nous laisses!!	formality	fr
Une manière de ne pas être désorienté.	une façon  de ne pas perdre le nord !	formality	fr
Beaucoup de personnes sont superficielles et ne cherchent pas à en savoir davantage.	Beaucoup, effectivement ne cherchent pas à en savoir d'avantage, bcp sont superficiels.	formality	fr
L'homme est toujours comme un bébé, si une femme pouvait l'élever convenablement, elle le garderait pour toujours.	L'homme est toujours comme un bébé, si une femme pouvait bien l'élever elle pourra le garder pour toujours.	formality	fr
Il n'est pas nécessaire de lui dire ça, parce que c'est quelque chose qu'on  peut ressentir d’après les gestes.	bon pas la peine de lui dire ca , parceque c est qlq chose quand peut la sentir juste dapres les gestes	formality	fr
Il n'y a rien à faire tout est déjà écrit.	ya rien a faire tout est écris	formality	fr
Va te saouler avec des copines, et couche avec autre mec juste pour la nuit.	Va te bourrer la gueule avec des copines, tapes toi un autre mec juste pour la nuit (capote!!!)	formality	fr
C'est un passe-temps amusant à part pour les idiots.	UN PASSE TEMPS MARRANT A PART LES ABRUTIS	formality	fr
La personne qui arrive à pénétrer dans ton cœur sans le détruire !	celle qui entre dans ton coueur sans casser la porte !	formality	fr
Je préfère MSN mais le principe reste quelque peu le même.	Je prefere MSN mais bon le principe reste un peu le meme	formality	fr
Ce sera effectivement plus facile et abordable pour toi de cette façon.	ce sera plus facile pour toi de cette manière !	formality	fr
Mais de nos jours ce sera une garde partagée ce qui me semble plus juste.	mais des nos jours ce sera une garde partagée ce ki me semble plus juste	formality	fr
Patiente, les prochaines élections seront en 2007.	patiente les prochaines sont en 2007 !!!!	formality	fr
Tu pourrais la confondre avec mon amie si tu ne sais pas qu'on est cousins !	et pourtant tu sait pas qu'on n'est cousin tu peu la confondre avec mon amie.	formality	fr
J'ai de la pitié pour Rosette car elle était obligée de passer à l'acte, c'est vraiment dommage.	pauvre rosette  elle a du passer a l acte dommage  pour toi !!!!	formality	fr
Je crois plutôt que lorsque l'on est loin de la personne mieux on connaît sa valeur.	je crois plut tôt que qu'on est loin de la personne on connaît sa valeur	formality	fr
