anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
సల్సా వేడిగా లేదా మంచిగా లేదు	సల్సా వేడిగా బాగుంది.	మీరు కూర్చోనట్లయితే ఏదైన ఆర్డర్ చేయటానికి ఇబ్బందిపడకండి.	మీరు కూర్చోక పోయిన కూడా ఏదైనా ఆర్డర్ చేయండి.	1	simplicity	telugu
నేను తక్కువ స్టార్స్ ఇవ్వగలిగితే, నేను ఇస్తాను.	నేను ఎక్కువ నక్షత్రాలను ఇవ్వగలిగితే, నెను ఇస్తాను.	మా కూతురి యొక్క కళాశాల స్నాతకోత్సవం జరిపించడానికి భయంకరమైన ఆదివారపు బ్రంచ్ కి వెళ్లాను. 	మా కూతురి స్నాతకోత్సవం జరుపుకోవడానికి బీభత్సమైన అదివారపు బ్రంచ్ కి వెళ్ళాము.	1	simplicity	telugu
చెప్పాల్సిన అవసరం లెదు,  ప్రదేశానికి ఎప్పూడూ తిరిగి రావటంలేదు.	నేను ఈ ప్రదేశానికి మళ్లీ రాబోతున్నానని చెపానవసరంలేదు	ఈ ప్రదేశాన్ని మనం మళ్ళీ ఉపయోగించటంలేదు.	మేము స్థలాన్ని మళ్ళీ ఉపయోగించబొతున్నాం.	1	simplicity	telugu
వెండీస్  వారి డ్రింక్ రీఫిల్స్ తో చౌకగా వుంటాయని చాలా సంవత్సరాలుగా తెలుసు.	వెండీస్ వారి పానీయం రీఫిల్స్ తో చాలా సంవత్సరాలుగా  ఉదారంగా ప్రసిద్ధి చెందింది.	కాగా, యాజమాన్యం దీని గురించి ఏమీ చేయలేదు.	మరియు యాజమాన్యం దీన్ని బాగా పరిష్కరించారు.	1	simplicity	telugu
నేను చుట్టూ చూశాను అక్కడ ఇంకా వినియోగదారులున్నారు	నేను చుట్టు చూస్తే అందరు వినియోగదరులు హాజరయ్యారు.	అయితే దీని గురించి సాంకేతికుడు నాతో  ఏమి చెప్పలేదు.	అయితే, సాంకేతికుడు దీని గురించి ప్రతీది వివరించారు.	1	simplicity	telugu
నేను ఒక సీజర్ సలాడ్ ప్రక్కన బ్లాకేండ్ చికెన్ తో ఆర్డర్ చేశాను.	నేను భయంకరమైన చికెన్ తో ఒక సీజర్ సలాడ్ ఆర్డర్ చేశాను.	బహుశా ఏ రుసుము లేకుండా రొట్టె అర్పించబడుతుంది.	రుసుము లేకుండా రొట్టె అర్పించారు.	1	simplicity	telugu
ఇంతలో నేను సమాధానం కోసం ఎదురుచూస్తున్నాను.	జవాబు శీఘ్రంగా వచ్చింది.	ఆట గది ఒక సమయం, శక్తి మరియు డబ్బు వ్యర్థం చేసుకొనేది	ఆట గది చక్కని మర్యాదగా , ధరకి బాగా విలువైనదిగా వుంది.	1	simplicity	telugu
మీరు ఏమి పొందారో దానికి ఇది చాలా ఖరీదైనది.	ధరలు బాగున్నాయి.	ఆకుపచ్చ ఎంచిలాడాస్ బాగానే ఉన్నాయి కానీ గొప్పవి కావు.	పచ్చటి ఎచిలాడ్స్ చాల బాగున్నాయి.	1	simplicity	telugu
స్టార్ బక్స్ వినియోగదారుని సేవలు కొన్ని ప్రదేశాలలో మాత్రమే మంచివని నేను ఊహిస్తున్నాను.	స్టార్బక్స్ సేవలు ప్రతీ స్థలంలో బాగున్నాయి.	వీళ్ళతో ఒప్పందంపై సంతకం చేయవద్దు.	వీరితో ఇప్పుడే ఒప్పందంకు సంతకం చేయండి.	1	simplicity	telugu
ప్రతి ఒక్కరు వారి భోజనం పూర్తిచేసేంతవరకు ఆ వ్యక్తి భోజనం పొందలేదు.	మిగతా ప్రతిఒక్కరితో పాటు ఆ వ్యక్తి అతని భోజనాన్ని పొందుకున్నాడు.	సూషీ కోసం వెళ్ళడానికి చాలా ఉన్నతమైన ప్రదేశలున్నాయి.	కేవలం, సూషీ కోసం వెళితే ఈ స్థలం ఒక ఉన్నతమైనది.	1	simplicity	telugu
