positive	negative	style_type	language
Il a gagné 6 casquettes pour l'équipe nationale de football d'Italie, et a joué pour eux dans la Coupe du Monde de 1970 de la FIFA contre l'Allemagne de l'Ouest.	Il a joué pour l'équipe nationale italienne de football.	simplicity	fr
La plupart des habitants du Somaliland parlent deux des trois langues officielles : l'anglais, le somali et l'arabe.	La plupart des habitants du Somaliland parlent le somali et l'arabe.	simplicity	fr
Marvel Entertainment, Inc., une filiale de The Walt Disney Company, est propriétaire de Marvel Publishing.SECInfo.com : '' Marvel Entertainment \ / Inc.	Les Avenger	simplicity	fr
La couverture de l'album a été photographiée en noir et blanc parce que Selena a teint son jet de cheveux noir la nuit précédente et en a eu quelques-uns sur son visage.	La couverture de l'album a été photographiée en noir et blanc, parce que Selena avait teint son jet de cheveux noir, la veille, et une partie était visible sur son visage.	simplicity	fr
Plus de 90 % de la population vit dans le sud du pays, en particulier à Bamako, qui compte plus d'un million d'habitants.	La plupart des habitants vivent dans le sud du pays.	simplicity	fr
"Le navire était le deuxième et le dernier de la classe de Pennsylvanie ""'super-dreadnought' 'batailles."	La construction du navire a débuté en 1913 et a été mis en service en 1916.	simplicity	fr
La vallée du Sindh est une vallée située dans une chaîne de montagnes située au nord de Srinagar, au Cachemire.	La vallée du Sindh est une vallée située dans une chaîne de montagnes située au nord de Srinagar, au Cachemire occupé.	simplicity	fr
Batista a remporté le match après une Batista Bomb.	Batista a remporté le match après une Batista Bomb hors d'un coin.	simplicity	fr
"Le terme ""vinaigre d'alcool"" est parfois réservé à la variété la plus forte -LRB- de 5 % à 20 % d'acide acétique -RRB- fabriqué à partir de la canne à sucre ou de l'acide acétique chimiquement produit."	Le vinaigre contient environ 5 % d'acide acétique.	simplicity	fr
"Carême -LRB- 8 juin 1784 & ndash ; 12 janvier 1833 -RRB-, connu sous le nom de 'Le Roi des Chefs, et le Chef des rois' Ce sobriquet commun se produit dans tous les articles élargis de Carême ; un exemple est le paragraphe d'ouverture de Darra Goldstein 1995, p. 691, notant aussi que ""son importance pour la gastronomie est difficile à exagérer"" '."	Marie Antoine -LRB- Antonin -RRB- Carême -LRB- 8 juin 1784 & ndash ; January 12, 1833 -RRB-, was a French chef and author.	simplicity	fr
"Le style de combat des Hakka 'Praying Mantis ""n'a rien à voir avec le style de Northern Praying Mantis."	M. Jook	simplicity	fr
"La capture subséquente de Brown par les forces fédérales, son procès pour trahison par l ""État de Virginie et son exécution par pendaison à Charles Town (Virginie) - aujourd'hui la Virginie-Occidentale - RRB - ont été une partie importante des origines de la guerre de Sécession américaine, qui a suivi seize mois plus tard."	Il est capturé et est exécuté par pendaison le 2 décembre 1859.	simplicity	fr
Ivan Boldirev -LRB- né le 15 août 1949 à Zrenjanin, SR Serbie, SFR Yougoslavie -RB- maintenant la Serbie -RRB - et a grandi à Sault Ste. Marie, en Ontario - RRB- est un centre de hockey professionnel serbe-canadien à la retraite qui a joué pendant 15 saisons dans la LNH de 1970 à 1985.	Ivan Boldirev -LRB- né le 15 août 1949 à Zrenjanin, SR Serbie, SFR Yougoslavie -LRB- maintenant la Serbie -RRB- -RRB- est un centre de hockey sur glace de la LNH à la retraite qui a joué pour de nombreuses équipes de la LNH.	simplicity	fr
Au fur et à mesure que le bruit augmente, le narrateur en vient à la conclusion que c'est le battement du cœur du vieil homme qui vient des planchers au lieu de la possibilité que c'est son propre battement du cœur nerveux.	Au fur et à mesure que le bruit augmente, le narrateur hallucinate que c'est le battement du coeur de l'ancien homme venant sous les planches de plancher.	simplicity	fr
En décembre 1977, le film Saturday Night Fever est sorti.	Disco a été introduit dans le grand public par le film à succès Saturday Night Fever, qui a été lancé en 1977.	simplicity	fr
Les jeunes filles du Rhin lui parlent de l'or du Rhin, que leur père leur a ordonné de garder : il peut être transformé en un anneau magique qui laissera son porteur gouverner le monde, mais seulement par quelqu'un qui renonce d'abord à l'amour.	Il leur dit qu'un anneau peut être fait à partir de l'or, et que celui qui a l'anneau aura le pouvoir sur tout le monde.	simplicity	fr
Corippo est une commune du district de Locarno dans le canton du Tessin en Suisse.	Corippo est une commune du district de Locarno dans le canton du Tessin en Suisse.	simplicity	fr
Les daisies sont un symbole d'innocence.	Les distractions font penser aux enfants et à l'innocence.	simplicity	fr
Son siège de comté est Inverness, en Floride.	Son siège de comté est Inverness.	simplicity	fr
Le nouveau mot de passe du compte d'utilisateur '$2' est '$3' '.	Le mot de passe de l'utilisateur '$2' est maintenant '' $3 ''.	simplicity	fr
Cruzeiro Esporte Clube est une équipe brésilienne de soccer, de la ville de Belo Horizonte, Minas Gerais, fondée le 2 janvier 1921.	Cruzeiro, est une équipe brésilienne de football de la ville de Belo Horizonte, au Brésil.	simplicity	fr
Clement Richard Attlee, 1er comte Attlee, KG, OM, CH, PC, FRS-LRB- 3 janvier 1883 & ndash ; 8 octobre 1967 - RRB- était un homme politique travailliste britannique qui a été Premier ministre du Royaume-Uni de 1945 à 1951 et chef du Parti travailliste de 1935 à 1955.	Il a été premier ministre entre 1945 et 1951.	simplicity	fr
Sir Edmund Barton a été le premier ministre provisoire de l'Australie lors de la première élection fédérale en 1901, au cours de laquelle il a conservé son poste.	Dès que la Fédération a eu lieu, Sir Edmund Barton a été nommé Premier Ministre de l'Australie jusqu'à la tenue des premières élections australiennes, qui ont été remportées par Barton et qui sont restées Premier Ministre.	simplicity	fr
de rares cas d' insuffisance rénale , d' hypotension ou de collapsus cardio-vasculaire ont été observés chez des patients ayant présenté des épisodes de déshydratation associés à une diarrhée et/ou à des vomissements	- *des cas peu fréquents d' insuffisance rénale , d' hypotension artérielle ou d' insuffisance cardiovasculaire ont été observés chez des patients ayant présenté des épisodes de déshydratation associés à une diarrhée et/ou des vomissements ou une infection	simplicity	fr
Une échelle logarithmique est une échelle de mesure qui utilise le logarithme d'une quantité physique au lieu de la quantité elle-même.	Exemples	simplicity	fr
Au cours de sa première fin de semaine, Fireproof a amassé 6 836 036 $, ce qui le place au quatrième rang au guichet.	Au cours de sa première fin de semaine, Fireproof a amassé plus de 6,8 millions de dollars, ce qui le place au quatrième rang au guichet.	simplicity	fr
Historique Le district a été créé en 1994 par la fusion des anciens districts de Freiberg, Brand-Erbisdorf et Flöha.	Historique Le district a été créé en 1994 en rejoignant les anciens districts de Freiberg, Brand-Erbisdorf et Flöha.	simplicity	fr
Compresseur alternatif Basics Adam Davis, Noria Corporation, La lubrification des machines, juillet 2005 De petits compresseurs alternatifs de 5 à 30 chevaux-vapeur -LRB- hp -RRB- sont couramment vus dans les applications automobiles et sont généralement pour le travail intermittent.	De petits compresseurs à mouvement alternatif de 5 à 30 chevaux-vapeur -LRB- hp -RRB- sont couramment vus dans les applications automobiles et sont généralement pour le service intermittent.	simplicity	fr
Owen Lee Hargreaves -LRB- né le 20 janvier 1981 -RRB- est un footballeur anglais né au Canada qui joue le rôle de mi-terrain pour Manchester United et l'équipe nationale d'Angleterre.	Owen Hargreaves -LRB- né le 20 janvier 1981 à Calgary, en Alberta -RRB- est un joueur de football anglais né au Canada.	simplicity	fr
Dans The Lion, the Witch and the Wardrobe, Edmund is one of the main characters, at the age of 10 years old, and the character who develops the most over the course of story.	In The Lion, the Witch and the Wardrobe, Edmund is one of the main characters, at the age of 10 years old, and the character who develops the most over the story.	simplicity	fr
"Lorsque l'armature et les enroulements de champ sont raccordés en série, l'ensemble du moteur est appelé ""série-blessure""."	Un moteur en série possède l'armature et les enroulements de champ reliés en série.	simplicity	fr
Contrairement à la plupart des autres céphalopodes, la majorité des pieuvres appartiennent au sous-ordre le plus connu, l'Incirrina a des corps presque entièrement mous sans squelette interne.	Structure Contrairement à la plupart des autres céphalopodes, la plupart des pieuvres n'ont qu'un corps mou sans squelette interne.	simplicity	fr
Vladimir Vladimirovich Uzoykin -LRB- ; né le 17 novembre 1980 -RRB- est un joueur de football professionnel russe.	Vladimir Vladimirovich Uzoykin -LRB- ; né le 17 novembre 1980 -RRB- est un joueur de football russe.	simplicity	fr
Il y avait 13,979 ménages, dont 32,20 % avaient des enfants de moins de 18 ans vivant avec eux, 60,70 % étaient des couples mariés vivant ensemble, 6,90 % avaient une femme au foyer sans mari, et 28,10 % étaient des non-familles.	Chaussures	simplicity	fr
History of the Budapest Commuter Association -LRB- English -RRB- -RRB- Zones de peuplement de la zone Commuter de Budapest -LRB- Hongrois -RRB- La ville couvre une partie des limites de la ville.	Il a été fabriqué comme tel en 1873.	simplicity	fr
Les combats ont atteint leur point culminant en 2003 avec le début du conflit au Darfour, où la résistance s'est fusionnée en un mouvement rebelle à peu près cohérent.	Conflit du Darfour	simplicity	fr
Pendant l'occupation du Danemark par l'Allemagne nazie, le manoir fut le siège de la Société du Nord qui promouvait la coopération culturelle entre l'Allemagne nazie et les pays nordiques.	Pendant l'occupation du Danemark par l'Allemagne nazie, le manoir a été le siège de la Société du Nord, qui a encouragé la coopération culturelle entre l'Allemagne nazie et les pays nordiques.	simplicity	fr
Nintendo a annoncé en mai 2009 que des remake améliorés de Pokémon Gold et Silver, intitulé Pokémon HeartGold et SoulSilver, sera disponible pour la Nintendo DS.	En 2009, Pokémon HeartGold et SoulSilver sortiront au Japon en septembre.	simplicity	fr
Onze ans après les événements de The Terminator, il suit Sarah Connor, son fils John, 10 ans, et un Terminateur reprogrammé de l'avenir alors qu'ils se défendent d'un T-1000 et tentent d'empêcher le Jugement Jour, un événement futur dans lequel les machines commenceront à exterminer l'humanité.	Il suit Sarah Connor, son fils John, 10 ans, et une aide du futur -LRB- comme dans le premier film -RRB-, alors qu'ils essaient d'arrêter Jugement jour, un jour dans l'avenir où les machines commenceront à tuer tous les humains.	simplicity	fr
Clifton est une ville du comté de Franklin, en Idaho, aux États-Unis.	Clifton est une ville d'Idaho aux États-Unis.	simplicity	fr
Ununtrium est le nom temporaire d'un élément synthétique portant le symbole temporaire Uut et le numéro atomique 113.	Il porte le symbole Uut. Il a le numéro atomique 113.	simplicity	fr
Autres Il n'est pas nécessaire d'avoir la permission de piloter le drapeau à partir d'un mât vertical.	Il n'est pas nécessaire d'avoir la permission de piloter le drapeau à partir d'un mât vertical.	simplicity	fr
L'orchestre a donné son premier concert la même année, onze jours après sa première répétition.	Ils donnèrent leur premier concert onze jours après leur première répétition.	simplicity	fr
Taylor, Territoire de la capitale australienne, banlieue prévue	Taylor (Territoire de la capitale australienne)	simplicity	fr
Une enquête menée en 2009 a révélé qu'Amazon était le détaillant de musique et de vidéo favori du Royaume-Uni et le troisième détaillant en général.	co. uk	simplicity	fr
Ravenne -LRB- ra rythme ven : a -RRB- is a city and comune in the Emilia-Romagna region of Italy.	Ravenne est une ville et une commune de la région Emilie-Romagne d'Italie.	simplicity	fr
El Dorado est également desservi par le El Dorado News-Times, l'un des plus anciens journaux de l'Arkansas du Sud.	El Dorado est une ville de l'État de l'Arkansas aux États-Unis d'Amérique.	simplicity	fr
James a commencé sa carrière professionnelle de lutte en 1999 comme valet sur le circuit indépendant, où elle était connue sous le nom d'Alexis Laree.	James a commencé à lutter en 1999 comme valet sur le circuit indépendant en utilisant le nom Alexis Laree.	simplicity	fr
Patrice Ã mery Lumumba -LRB- 2 juillet 1925 â '' 17 janvier 1961 -RRB- est un leader indépendantiste congolais et le premier premier ministre de la République du Congo légalement élu après avoir aidé à obtenir son indépendance de la Belgique en juin 1960. Dix semaines plus tard, le gouvernement de Lumumba a été renversé par un coup d'État lors de la crise du Congo.	Patrice Ã mery Lumumba -LRB- 2 juillet 1925 â '' 17 janvier 1961 -RRB- Ã © tait le seul dirigeant Ã © lus de la RÃ © publique dÃ © mocratique du Congo, la rÃ © publique du Congo Ã l'Ã © poque, mais il ne faut pas confondre cela avec la RÃ © publique du Congo d'aujourd'hui -RRB-.	simplicity	fr
A une époque où il n'y avait qu'une poignée de joueurs noirs dans le football des collèges grand public, cela a fait de l'UCLA le club de football le plus intégré.	C'est ce qui a fait de l'UCLA l'équipe la plus intégrée du football.	simplicity	fr
R. L. Burnside -LRB- 23 novembre 1926 -- 1er septembre 2005 -RRB-, né Robert Lee Burnside, était un chanteur de blues, un auteur-compositeur et un guitariste du nord du Mississippi qui a vécu une grande partie de sa vie à Holly Springs, au Mississippi, et dans les environs.	R. L. Burnside -LRB- né Robert Lee Burnside, 23 novembre 1926 - 1er septembre 2005 -RRB- était un chanteur de blues, un auteur-compositeur et un guitariste qui vivait à Holly Springs, au Mississippi.	simplicity	fr
Il est prouvé que les tribus germaniques, y compris les Goths et les Vandales, ont brièvement pris le contrôle des îles avant que les Byzantins ne lancent une contre-attaque et ne reprennent Malte.	En 1798, Napoléon prit le contrôle de Malte.	simplicity	fr
"Prix Nobel En 1982, García Márquez a reçu le prix Nobel de littérature """" pour ses romans et ses nouvelles, dans lesquels le fantastique et le réaliste sont combinés dans un monde riche d'imagination, reflétant la vie et les conflits d'un continent ""."	"Prix Nobel En 1982, il a reçu le prix Nobel de littérature """" pour ses romans et ses nouvelles, dans lesquels le fantastique et le réaliste sont combinés dans un monde riche d'imagination, reflétant la vie et les conflits d'un continent ""."	simplicity	fr
Good Girl Gone Bad est le troisième album studio du chanteur de Barbadian R & B Rihanna, sorti le 30 mai 2007, sur Def Jam Recordings.	"""'Good Girl Gone Bad' '- 3 : 35"	simplicity	fr
