positive	negative	style_type	language
O único e verdadeiro amigo que tenho é virtual, eu não consigo imaginar minha vida sem ele.	O unico verdadeiro amigo que tenho ele e virtual, eu nao consigo imaginar a vida sem ele mais.	formal	brazilian_portuguese
O mais sensato é esquecer disso, e partir para outra.	O maissensato é esquecer e partir para outra.	formal	brazilian_portuguese
Não serve para se concluir além disso	Não serve para se tirar conclusões além disso!	formal	brazilian_portuguese
Agora depende do que acontecerá.	agora depende do que acontecer.	formal	brazilian_portuguese
Recuse-a, a fim de que ela se afaste!	DANDO UM FORA NELA PRA ELA SE TOCAR !	formal	brazilian_portuguese
Não fosse trágico, seria cômico!	KKKSE NÃO FOSSE TRÁGICO SERIA CÔMICO!!!	formal	brazilian_portuguese
Não tenho do que reclamar.	não tenho o que reclamar .	formal	brazilian_portuguese
Acho que consideram rapazes assim muito grudem tos e fáceis.	Acho q consideram caras assim muito grudentos e fáceis.	formal	brazilian_portuguese
Passe a morar em São Paulo.	loirinho, mude pra sp!!	formal	brazilian_portuguese
Se te mandarem, manda para mim, dessa forma saberei se o Senna estava certo de comer aquela garota magra e que agora é gorda.	se te mandarem manda pra mim,ai vou ver se o senna tava certo de comer aqula magrela que agora é gordinha.	formal	brazilian_portuguese
Aconselho a sempre manter suas amizades, caso estas gostam de fato da sua pessoa irão entender.	O meu conselho é: mantenha sempre suas amizades, se ela gostar mesmo de vc saberá entender.	formal	brazilian_portuguese
Ai, como irmão que se preze, tem de caçoar, ele fica caçoando o rapaz.	Ai como irmão que se preza tem que zoar, ele fica zoando o cara.	formal	brazilian_portuguese
Tudo é excelente.	é tudo muito bom.	formal	brazilian_portuguese
Está muito gostoso.	hhuuuummmm DELÍCIAAAAAAAAA!!!!!!!!!	formal	brazilian_portuguese
Faça novas amizades e se matricule em algum curso. Caso já tenha feito, procure amizades com quem você já conheça, será legal.	faça novas amizades, se matricule em algum curso, se ja faz procure amizades com quem vc ja conhece, vai ser legal	formal	brazilian_portuguese
Eu tenho muitas cócegas nos pés.	Sinto muitas cócegas nos meu pés!	formal	brazilian_portuguese
Seja ilustre, determinado, simpático, e, caso não funcione, seja você mesmo.	seja descolado,decidido, simpatico, se nao funcionar :  seja voce mesmo	formal	brazilian_portuguese
Já disseram que obesidade se transmite por um aperto de mão, e que pessoas gordas têm de pagar mais impostos, e etc.	Já disseram que obesidade se passa num aperto de mão, e que gente gorda tem que pagar mais impostos e etc.	formal	brazilian_portuguese
Não que todas as mulheres belas sejam estúpidas, mas toda regra tem suas exceções.	Não que todas as mulheres bonitas são burras, mas toda a regra tem suas exceções.	formal	brazilian_portuguese
Procure ajuda em locais como igrejas, pequenas e médias empresas, até batendo de porta em porta, e verá que conseguirá angariar muitos fundos.	Procure ajuda na saída das igrejas, pequenas e médias empresas e porta em porta e verá que conseguirá juntar muito dinheiro.	formal	brazilian_portuguese
Estar perto de qualquer pessoa que eu amo.	estar perto que qualquer pessoa que eu amo!	formal	brazilian_portuguese
Tive que mudar de localidade.	Tive de mudar de local.	formal	brazilian_portuguese
Paixão é algo avassalador porém passa rápido, já o amor é paciente e duradouro.	paixao e algo avassalador mas passa logo, o amor e paciente e duradouro	formal	brazilian_portuguese
Não deixo de fazer as minhas tarefas por causa dos outros.	Não deixo de fazer nada por causa de ninguém.	formal	brazilian_portuguese
