anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
बहुत ही रुष्ट स्टाफ, धीमी सर्विस और आम सा भोजन !	बहुत ही मिलनसार स्टाफ, तेज सर्विस और शानदार और सीधा-सादा भोजन भी सही तारीक से पकाया हुआ !	कभी भी कुछ भी हो सकता है और कर्मचारी हमेशा रूखे होते हैं।	यह हमेशा से ऐसे ही है और कर्मचारी हमेशा मिलनसार होते हैं।	1	simplicity	hindi
एक लोकल चेन के लिए यह जगह बहुत वाहियात है!	एक लोकल चेन के लिए यह जगह बहुत बढ़िया है!	यदि आप बार में बैठते हैं तो उनके पास शहर का सबसे खराब बारटेंडर है।	यदि आप बार में बैठते हैं तो उनके पास शहर का सबसे अच्छा बारटेंडर है।	1	simplicity	hindi
केलजोन अच्छे नही हैं और इनका लंच स्पेशल बकवास है ।	केलजोन कमाल के हैं और इनका लंच स्पेशल तो बिलकुल सही है ।	मेनूडो खराब तरीके से किया गया था।	यहाँ मेनुडो एकदम सही है।	1	simplicity	hindi
एक सख़्त स्टेक, छुटका सा झींगा और एक औसत दर्जे का एनचिलाडा।	एक स्टेक, झींगा और एक एनचिलाडा।	बेकार मेनू, उच्च कीमतें, खराब ग्राहक सेवा - रात के खाने और नाश्ते दोनों के लिए।	अच्छा मेनू, अच्छी कीमतें, बढ़िया सेवा- रात के खाने और नाश्ते दोनों के लिए!	1	simplicity	hindi
वास्तव में खराब सर्विस और खाना।	वास्तव में अच्छी सर्विस और खाना।	कीमतें अच्छी नहीं थीं, और यह उनके लायक नहीं था।	कीमतें सबसे अच्छी थीं और इसके लायक थीं।	1	simplicity	hindi
फ़िश टैकोस अब तक के सबसे ख़राब थे। 	फ़िश टैकोस बहुत अच्छे थे।	वे दोस्ताना नही हैं, मददगार नही हैं, और ग़ज़ब धीमे हैं !	वे बहुत दोस्ताना हैं, बहुत मददगार हैं, और आश्चर्यजनक रूप से तेज!	1	simplicity	hindi
अफसोस, मैंने टमाली सैम्प्लर ख़रीदा ।	मैंने टमाली सैम्प्लर ख़रीदा। 	वे बेकार थे, बहुत तेल वाले, बिलकुल पिचके हुए और हल्के।	वे कमाल थे, बहुत तेल वाले नहीं बल्कि फूले हुए और हल्के।	1	simplicity	hindi
दुनिया भर में यात्रा करते हैं फिर भी भारतीय भोजन को अच्छी तरह से नहीं जानते ।	दुनिया भर में यात्रा करते हैं और भारतीय भोजन को अच्छी तरह से जानते हैं ।	बहुत हाई पुराने जमाने का माहौल है;पुराना आइसक्रीम पार्लर।	बहुत हाई पुराने जमाने का माहौल है पुरातन आइसक्रीम पार्लर।	1	simplicity	hindi
यह एक बेकार अनुभव था!	यह एक शानदार अनुभव था !	बेकार और धीमी सेवा, ये लोग वास्तव में अपना काम नहीं जानते हैं।	बहुत बढ़िया और तेज सर्विस, ये लोग वास्तव में अपना काम जानते हैं।	1	simplicity	hindi
रॉन सबसे ख़राब है	रॉन अभी भी सबसे बढ़िया है।	और मैंने अपना पसंदीदा शुगर बाउल नहीं खा पाया था, टॉप हैट संडे!	और मैंने अपना पसंदीदा शुगर बाउल खाया था, टॉप हैट संडे!	1	simplicity	hindi
