positive	negative	style_type	language
en tenant compte du risque de biais élevé et de la forte hétérogénéité entre les études , ces résultats doivent être interprétés avec prudence	la qualité des études était faible , de sorte que ces résultats doivent être interprétés avec prudence	simplicity	French
les principales raisons de la rétrogradation des preuves comprenaient l' imprécision ( échantillons de petite taille et intervalles de confiance larges ) et un mauvais signalement des méthodes d' étude	les principales raisons de la rétrogradation des preuves étaient l' imprécision ( échantillons de petite taille et intervalles de confiance larges ) et un mauvais signalement des méthodes d' étude	simplicity	French
d' autres interventions ( par exemple , celles incluant des éducateurs , celles visant à développer des aptitudes de sécurité , notamment les aptitudes à la prise de décision et à la résistance à la pression des pairs , ou celles visant à améliorer le respect de soi ou la connaissance de ses propres capacités ) doivent être développées et testées , tout particulièrement auprès des enfants âgés de 11 à 18 ans	d' autres types de programme de promotion du port du casque ( par exemple , ceux incluant des éducateurs , ceux développant les aptitudes telles que la prise de décision et la résistance à la pression des pairs ou améliorant le respect de soi ou la connaissance de ses propres capacités ) doivent être développés et testés , tout particulièrement auprès des enfants de 11 à 18 ans	simplicity	French
il n' y a pas de différence claire en ce qui concerne le retrait manuel du placenta , les transfusions sanguines ou le risque d' hémorragie postpartum	il n' y avait pas de différence claire en ce qui concerne le retrait manuel du placenta , le risque d' hémorragie postpartum ou l' incidence des transfusions sanguines	simplicity	French
parmi les 10 études sur les lombalgies , sept ont montré que la diffusion de lignes directrices et les possibilités d' éducation des généralistes amélioraient peu ou pas du tout le respect de ces lignes directrices par les praticiens	parmi les dix études sur les lombalgies , sept ont montré que l' éducation des généralistes et la distribution de protocoles n' amélioraient que peu ou pas du tout le comportement clinique des médecins	simplicity	French
l' importance de l' implication des usagers dans les soins de santé est largement établie	l' importance de l' implication des usagers de soins dans les services de santé à tous les niveaux est largement établie	simplicity	French
l' effet des bêta-bloquants non-sélectifs sur la mortalité est très discuté et de nombreux patients sont confrontés à des événements indésirables	cependant , l' effet des bêta-bloquants non-sélectifs sur la mortalité est très discuté et de nombreux patients sont confrontés à des événements indésirables	simplicity	French
les données sont trop faibles pour évaluer les effets des antipsychotiques sur les résultats autour des épisodes précoces de schizophrénie	les données sont trop limitées pour évaluer les effets des traitements initiaux d' antipsychotiques sur les résultats des individus souffrant d' épisodes précoces de schizophrénie	simplicity	French
les preuves existantes sont insuffisantes pour la sécurité ou l' efficacité du naloxone ou du nalbuphine pour le traitement de la dio	les informations sont insuffisantes pour tirer des conclusions définitives sur la sécurité ou l' efficacité des antagonistes opioïdes traditionnels dans le traitement de la dio	simplicity	French
Andrea di Pietro della Gondola , dit Andrea Palladio né à Padoue le 30 novembre 1508 et mort à Vicence le 19 août 1580 est un architecte de la Renaissance italienne .	Andrea di Pietro della Gondola , dit Andrea Palladio , né à Padoue le 30 novembre 1508 et mort à Vicence le 19 août 1580 , est un des plus célèbres architectes de la Renaissance italienne .	simplicity	French
l' hydroxyzine est un antihistaminique qui est également utilisé dans le traitement de l' anxiété	l' hydroxyzine est un antihistaminique qui a également été étudié dans les troubles anxieux	simplicity	French
vingt-cinq essais comparaient un cathétérisme urétral à demeure et sus-pubien	vingt-cinq essais ( 2622 participants ) comparaient un cathétérisme urétral à demeure et sus-pubien	simplicity	French
cette méta-analyse suggère que l' administration d' hbpm diminue l' incidence de la tvp distale diagnostiquée par échogramme	cette revue signale que l' administration d' héparine de bas poids moléculaire réduit l' incidence de la tvp distale qui a été diagnostiquée	simplicity	French
cet article est une mise à jour d' une revue systématique publiée précédemment ( voir hassiotis 2004	cette revue est une mise à jour d' une précédente version	simplicity	French
il existe des preuves , toutefois , indiquant que les méthodes éducatives actuelles ne répondent pas aux besoins des consommateurs	il existe des preuves indiquant que les méthodes telles que la communication orale entre le prestataire de soins et le consommateur et les documents de support écrits ne répondent pas aux besoins des consommateurs	simplicity	French
une étude présentant un risque de biais élevé a été incluse , mais suivant la méthode grade , la qualité des preuves a été réévaluée à très faible	nous avons considéré qu' une étude présentait un risque élevé de biais , et utilisant l' approche grade , nous avons évalué la qualité des données comme faible à très faible	simplicity	French
aucune différence significative n' a été observée entre les groupes recevant la ritodrine iv associée à la progestérone vaginale et la ritodrine iv seule pour la plupart des critères rapportés , bien que le temps de latence ( délai entre le recrutement dans l' essai et l' accouchement ) ait augmenté dans le groupe recevant la combinaison de tocolytiques	aucune différence claire n' a été observée entre les groupes recevant la ritodrine associée à la progestérone ou la ritodrine seule pour la plupart des critères rapportés , bien que le temps entre l' administration des médicaments et l' accouchement ait augmenté dans le groupe recevant la combinaison de tocolytiques	simplicity	French
déterminer si les preuves disponibles sont favorables à l' utilisation d' analgésiques opioïdes au cours du processus de diagnostic des patients atteints de daa	les preuves disponibles sont -elles favorables à l' utilisation d' analgésiques opioïdes chez les patients atteints de daa au cours du processus de diagnostic	simplicity	French
plusieurs effets indésirables ont été signalés pour le dantrolène , y compris fatigue , somnolence , étourdissements et faiblesse musculaire	plusieurs effets secondaires ont été signalés pour le dantrolène , y compris fatigue , somnolence , étourdissements et faiblesse musculaire	simplicity	French
