positive	negative	style_type	language
La risposta sarebbe : tecnicamente no .	La risposta ovviamente è no . 	simplicity	it
Non c' erano dunque problemi ?	Non c' è questo problema ? 	simplicity	it
In definitiva , quindi , l' appello deve essere rigettato .	L' appello deve essere rigettato . 	simplicity	it
L' articolo 406 del codice penale è abrogato » .	L' articolo 330 del codice civile è abrogato . 	simplicity	it
""" Lo sai che non era vero . "	Però so che non è vero .	simplicity	it
Il risultato , purtroppo , è sotto gli occhi di tutti . 	E i risultati sono sotto i nostri occhi .	simplicity	it
Quindi ci sarà anche un problema .	Ma c' è un problema nuovo . 	simplicity	it
Esiste però anche un problema metabolico .	Esiste però un piccolo problema . 	simplicity	it
« Certo , sarebbe un vero peccato . 	è un vero peccato , veramente .	simplicity	it
I problemi , tuttavia , non mancano . 	Eppure i problemi non mancano .	simplicity	it
; ) Rispondi qui Re : QUANTO CONTA LA BELLEZZA ESTETICA ? 	Rispondi qui Re : QUANTO CONTA LA BELLEZZA ESTETICA ?	simplicity	it
Ora il punto è proprio questo .	Ed è proprio qui il punto . 	simplicity	it
In attesa di riscontro , distinti saluti . 	In attesa di un gentile riscontro porgiamo distinti saluti .	simplicity	it
Qui , purtroppo , non sono d' accordo .	Non sono completamente d' accordo . 	simplicity	it
Sono sempre un passo avanti .	È un nuovo passo avanti . 	simplicity	it
Si vedrà , come andrà a finire . 	Voglio vedere come andrà a finire .	simplicity	it
però le cose possono essere cambiate .	Poi le cose sono cambiate . 	simplicity	it
Sono andata a trovar- la personalmente .	Posso andare a trovar- la . 	simplicity	it
Potrebbe esser- ci un errore .	C' è stato un errore . 	simplicity	it
Non si poteva fare di più .	Ma non abbiamo potuto fare di più . 	simplicity	it
La risposta è ovviamente NO . 	La mia risposta è no .	simplicity	it
L' audizione informale è stata svolta dalle 8.15 alle 9.15 .	L' audizione si è svolta dalle 16.15 alle 17.15 . 	simplicity	it
Potrebbe far- ne a meno . 	Potevamo far- ne a meno ?	simplicity	it
Il giudizio complessivo è : buono .	Il giudizio complessivo è particolarmente buono . 	simplicity	it
Le cose sono cambiate , però . 	Oggi le cose sono cambiate .	simplicity	it
Ma , purtroppo , non è questo il caso . 	Ma non è l' unico caso .	simplicity	it
La Commissione prosegue l' esame , rinviato , da ultimo nella seduta del 20 gennaio 2004 .	La Commissione prosegue l' esame rinviato nella seduta del 15 gennaio 1998 . 	simplicity	it
""" Si può sostenere anche il contrario . "	Qualcuno potrà anche sostenere il contrario .	simplicity	it
E così è , infatti . 	E così infatti è stato .	simplicity	it
« Non è una buona notizia . 	Non è una buona notizia ?	simplicity	it
E il problema è proprio questo .	Il problema è proprio qua . 	simplicity	it
O , almeno , quello non è stato che l' inizio .	Non fu che l' inizio . 	simplicity	it
"Si sostituisca il comma 1 dell' articolo 20 con il seguente : "" 1 ."	"Il comma 11 dell' articolo 22 è sostituito dal seguente : "" 11 . "	simplicity	it
Tutti devono dare ancora qualcosa di più .	Può dare ancora molto di più . 	simplicity	it
Non sarebbe una buona pubblicità . 	Non è certo una gran bella pubblicità .	simplicity	it
Sino a oggi , però , la situazione non è cambiata .	Invece la situazione non è cambiata . 	simplicity	it
All' art. 9 : il comma 3 è sostituito dal seguente : 3 . 	Il comma 3 dell' art. 4 è sostituito dal seguente : « 3 .	simplicity	it
"E questa è un' occasione da non perdere "" ."	Ed è un' occasione da non perdere . 	simplicity	it
- - Apparentemente è un peccato ?	- Ed è un peccato ? 	simplicity	it
Quindi , questo è il primo elemento .	Questo è il primo elemento . 	simplicity	it
Stanno giocando a non / giocare a un gioco . 	Stanno giocando a non giocare un gioco .	simplicity	it
Le ragioni sono sostanzialmente due .	Le ragioni principali sono due . 	simplicity	it
Gli studenti non frequentanti Si dovrà concordare con la docente un programma ad hoc .	Gli studenti non frequentanti devono concordare il programma con la docente . 	simplicity	it
Ma c' è un piccolo problema .	Ma è un problema irrilevante . 	simplicity	it
Ma la cosa più sorprendente è un' altra . 	La cosa è più grave .	simplicity	it
Per ulteriori informazioni telefonare allo 065898031 . 	Per informazioni telefonare allo 045974166 .	simplicity	it
E questo è davvero un paradosso .	È un pò un paradosso . 	simplicity	it
Quindi non c' è formalmente una contraddizione . 	Non possono esser- ci contraddizioni .	simplicity	it
Questo è solo uno dei problemi .	è stato uno dei problemi . 	simplicity	it
« Questo è un altro problema aperto . 	Questo è un nostro problema .	simplicity	it
Ma questo potrebbe essere solo l' inizio .	Sì , ma è solo l' inizio . 	simplicity	it
Questo è uno dei nostri limiti .	Ma questo è un nostro limite . 	simplicity	it
Questa è la preoccupazione di tutti . 	Questa è l' unica preoccupazione .	simplicity	it
Anzi , spesso accade esattamente il contrario . 	Invece è accaduto esattamente il contrario .	simplicity	it
Era tutto molto facile e ovvio . 	Tutto questo era molto facile .	simplicity	it
Ma è un passo avanti , decisamente .	è già un bel passo avanti . 	simplicity	it
E la risposta è : no . 	La risposta è TECNICAMENTE no .	simplicity	it
La Commissione esprime , complessivamente , un giudizio discreto . 	La Commissione esprime un giudizio pienamente positivo .	simplicity	it
Questa è una non scelta .	Non è una nostra scelta . 	simplicity	it
Comunque la situazione è questa . 	La mia situazione è questa .	simplicity	it
Ma non è proprio questo il caso . 	Ma non è il nostro caso .	simplicity	it
Quali fossero i miei pensieri . 	Ci sono sempre i miei pensieri .	simplicity	it
In particolare, andranno rilevati e descritti tutti gli elementi di criticità paesaggistica, insiti nel progetto, e andranno messi in relazione a quanto è stato operato, per eliminare o mitigare tali criticità (impatti), garantendo così un migliore inserimento paesaggistico dell'intervento.	In particolare, bisognerà rilevare e descrivere tutti gli elementi di criticità paesaggistica, insiti nel progetto, e andranno messi in relazione a quanto è stato operato, per eliminare o mitigare tali criticità (impatti), garantendo così un migliore inserimento paesaggistico dell'intervento.	simplicity	it
Comunque un problema c' era . 	Ma c' è un problema nuovo .	simplicity	it
Ci sono però delle differenze . 	Oggi però ci sono troppe differenze .	simplicity	it
Si , il problema è questo . 	Era proprio questo il problema .	simplicity	it
Quindi effettivamente questo è un grande problema .	Questo è un grosso problema . 	simplicity	it
Si riporta di seguito un esempio .	Si riportano di seguito alcuni esempi . 	simplicity	it
D : C' è una spiegazione ?	C' è una spiegazione scientifica ? 	simplicity	it
« Questa è una buona domanda .	Questa è una bella domanda . 	simplicity	it
Chi farebbe una cosa del genere ?	Possono fare una cosa del genere ? 	simplicity	it
Qui non ci sono problemi .	Non c' è nessun problema . 	simplicity	it
La risposta era ovviamente no . 	La nostra risposta è NO .	simplicity	it
In attesa di cortese riscontro , porgiamo distinti saluti . 	In attesa di un vostro riscontro porgo distinti saluti .	simplicity	it
Conseguentemente , sostituire l' articolo 44 , con il seguente : « Art. 44 . 	L' articolo 39 è sostituito dal seguente : « Art. 39 .	simplicity	it
Ok , faccio un ulteriore passo indietro . 	Ma facciamo un ulteriore passo avanti .	simplicity	it
Che però vanno in direzione opposta .	E va nella direzione opposta . 	simplicity	it
Ma era solo all' inizio . 	Ma questo è stato solo l' inizio .	simplicity	it
Pubblicato nella Gazzetta Ufficiale del 7 ottobre 1997 , n. 234 . 	è pubblicato nella Gazzetta Ufficiale 19 ottobre 1995 , n. 245 .	simplicity	it
Ma forse questa sarà un' altra storia ... 	Ma è un' altra storia .	simplicity	it
è proprio questo il punto .	Ed è proprio qui il punto . 	simplicity	it
In particolare, andranno rilevati e descritti tutti gli elementi di criticità paesaggistica, insiti nel progetto, e andranno messi in relazione a quanto è stato operato, per eliminare o mitigare tali criticità (impatti), garantendo così un migliore inserimento paesaggistico dell'intervento.	In particolare, andranno rilevati e descritti tutti gli elementi di criticità paesaggistica, insiti nel progetto, e andranno messi in relazione a quanto è stato operato, per eliminare o mitigare tali criticità (impatti), garantendo così un migliore inserimento nel paesaggio dell'intervento.	simplicity	it
La Commissione prosegue l' esame congiunto , rinviato nella seduta del 2 luglio 2002 .	La Commissione prosegue l' esame rinviato nella seduta del 30 luglio 1997 . 	simplicity	it
Questo non è un problema » .	« Questo proprio non è un mio problema . 	simplicity	it
Qual è la strada , allora ? 	Qual è la tua strada ?	simplicity	it
Un rapporto equilibrato dovrebbe essere di 100 a 105 . 	Il rapporto è quasi di 3 a 1 .	simplicity	it
Dove è il problema , allora ?	Allora , quale è il problema ? 	simplicity	it
Questo è solo l' inizio » . 	Ma questo è stato solo l' inizio .	simplicity	it
Forse piano piano cambierebbero un pò le cose .	Allora forse le cose cambieranno . 	simplicity	it
« Non è quello il problema . 	Ma questo non è il mio problema .	simplicity	it
Adesso la risposta è no ! ! !	La risposta è evidentemente no ! 	simplicity	it
Come si potrebbe uscire da questa situazione ? 	Come si esce da questa situazione ?	simplicity	it
Oggi le cose non vanno molto diversamente . 	Le cose non vanno bene .	simplicity	it
I termini di presentazione delle domande di ammissione ai nidi d'infanzia comunali sono fissati dall'1 settembre al 30 aprile precedenti il periodo di erogazione del servizio (indicativamente da inizio settembre a fine luglio).	I termini di presentazione delle domande di ammissione ai nidi d'infanzia comunali sono fissati dall'1 settembre al 30 aprile precedenti il periodo di erogazione del servizio (circa da inizio settembre a fine luglio).	simplicity	it
Anche qui però vi sono delle distinzioni da fare . 	Anche qui c' è da fare qualche distinzione .	simplicity	it
È tutto un altro discorso .	Ma è un altro discorso . 	simplicity	it
La vita non è così ! !	la vita non è un computer ! ! 	simplicity	it
Il problema , non è nuovo , ma spinoso .	Il problema non è nuovo . 	simplicity	it
Questo non riusciva ancora a capir- lo .	Ancora non riesco a capire . 	simplicity	it
Non sarebbe un controsenso ? ? 	Non è un vero controsenso ?	simplicity	it
