anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
Пошел Иван-царевич к царю на пир один.	Пошёл Иван-царевич к царю на праздник один.	Воротись, поклонися рыбке: Не хочу быть черной крестьянкой, Хочу быть столбовою дворянкой».	Обещала рыбка исполнить желание старухи – сделать её богатой дворянкой. 	1	simplicity	Russian
Старик и спрашивает:	Рассказал он всё старухе и спрашивает:— спрашивает старик	Пошел старик к синему морю; (Не спокойно синее море.) 	Третий раз пошёл старик к синему морю. Неспокойно синее море. Четвёртый раз пошёл старик к синему морю. И опять пошёл старик к синему морю. 	1	simplicity	Russian
Снарядился, взял лук да стрелы, надел железные сапоги, положил в заплечный мешок три железных хлеба и пошел искать жену свою, Василису Премудрую.	Заплакал Иван-царевич и пошёл искать свою жену Василису Премудрую.	Пошла Василиса Премудрая плясать с Иваном-царевичем. 	Пошла Василиса Премудрая танцевать с Иваном-царевичем. 	1	simplicity	Russian
Глядят на нее, не налюбуются. 	Смотрят на неё – любуются. 	А Иван-царевич говорит:	А лягушка говорит:Пошёл Иван-царевич голодным дальше.	1	simplicity	Russian
Тогда царский слуга приказал Емелю положить в экипаж свой и так, сонного, привез во дворец. 	Когда об этих чудесах узнал царь, он позвал Емелю во дворец. 	«Убью этого зайца! 	«Убью этого зайца! 	1	simplicity	Russian
Обрадовался царевич, разбил яйцо, достал иглу и отломил у нее кончик. 	Обрадовался царевич, разбил яйцо, достал иглу, сломал её, и Кощей Бессмертный сразу умер.	Вот и последний снег растаял, зацвели цветы на лугах, птицы прилетели. 	Не радуют её цветы и птицы, только и ждёт она дождя и прохлады. 	1	simplicity	Russian
Прицелился он, а медведь вдруг и говорит ему человеческим голосом:	Увидел Иван-царевич лягушку, хотел убежать, а лягушка говорит человеческим голосом:Увидел он медведя, хотел убить, а медведь ему человеческим голосом говорит:Иван-царевич хотел его убить, а селезень говорит человеческим голосом:	Стали братья над ним смеяться, а отец говорит:	Стали братья над ним смеяться, а отец сказал:Стали они смеяться над Иваном:	1	simplicity	Russian
Рубит мужик дрова. 	Рубил мужик дрова. 	Пошёл старик в лес. 	Пошёл старик в лес. 	1	simplicity	Russian
А к чему, зачем — того и сами не знают.	Жены старших царевичей смотрят на неё и за ней повторяют, а зачем — сами не знают. 	Младшего звали Иван-царевич. 	Младшего звали Иван-царевич.	1	simplicity	Russian
Он ехал день, другой и третий — вдруг вышел ему навстречу пребольшой серый волк и сказал:	Ехал, он ехал и встретил большого Серого Волка. 	Вот неделя, другая проходит, Еще пуще старуха вздурилась: Опять к рыбке старика посылает. 	Вот прошло две недели и опять старуха приказывает старику идти к золотой рыбке. Опять посылает старуха старика к золотой рыбке. 	1	simplicity	Russian
А на самой его вершине — кованый ларец.	Дуб был очень большой и высокий, а на самом верху висел ларец.	— Да, Иван-царевич, спать бы тебе вечно, кабы не я; ведь тебя братья твои изрубили и прекрасную королевну Елену, и коня златогривого, и жар-птицу увезли с собою. 	Убили братья Ивана, забрали жар-птицу, коня, королевну и уехали. 	1	simplicity	Russian
Вот идет он к синему морю, Видит, на море черная буря: Так и вздулись сердитые волны, Так и ходят, так воем и воют. 	Видит, что на море сильная буря. 	— Поди-ка, старуха, по коробу поскреби, по сусеку помети, не наскребешь ли муки на колобок.	— Испеки, бабка, колобок.— У нас муки нет. — А ты иди поищи.	1	simplicity	Russian
Говорит старику старуха: «Воротись, поклонися рыбке. 	Говорит, что мало ей новой избы. 	— сказал он. — Садись на меня, на серого волка, а королевна Елена Прекрасная пусть едет на коне златогривом.	Решили они убить брата, а Елене Прекрасной приказали никому ничего не рассказывать.	1	simplicity	Russian
А мужик шубу понашивал да барина похваливал.	Зовёт его и спрашивает:  — спрашивает баринА мужик шубу носил и барина хвалил.  	Серый волк вымолвил эти слова и побежал в сторону; а Иван-царевич заплакал горько по сером волке и поехал в путь свой с прекрасною королевною.	А когда Иван-царевич с настоящей королевной уехали, Серый волк стал опять волком и побежал за ними.На следующий день Серый волк опять превратился в волка и побежал за Иваном и Еленой Прекрасной.	1	simplicity	Russian
У того царя Выслава Андроновича был сад такой богатый, что ни в котором государстве лучше того не было; в том саду росли разные дорогие деревья с плодами и без плодов, и была у царя одна яблоня любимая, и на той яблоне росли яблочки все золотые.	У этого царя был сад богатый, и была там яблоня с золотыми яблоками. 	Жили-были старик со старухой. 	Жили-были дед и баба. 	1	simplicity	Russian
Катится Колобок, навстречу ему Волк:	Катится Колобок, а навстречу ему Волк: — Колобок, Колобок, я тебя съем! 	Я сердцем возлюбил прекрасную королевну Елену, а теперь должен отдать ее царю Афрону за коня златогривого, а ежели ее не отдам, то царь Афрон обесчестит меня во всех государствах	Обещал царь Афрон отдать коня златогривого Ивану-царевичу, если привезёт он из соседнего государства королевну Елену Прекрасную. 	1	simplicity	Russian
— Колобок, Колобок, я тебя съем!	— Колобок, Колобок, я тебя съем! 	Рассказал и Иван-царевич. 	Старшие братья рассказали отцу о своих невестах, рассказал и Иван-царевич. Рассказал Иван жене о новом задании отца	1	simplicity	Russian
— А вы возьмите по стреле, натяните свои тугие луки и пустите стрелы в разные стороны. 	Полетели их стрелы в разные стороны.	Лучше попроси у меня, чего тебе надобно, — всё дам.	Лучше попроси у меня всё, что хочешь.	1	simplicity	Russian
Старик ивовые прутья режет, корзинки плетёт, а старуха лён ткёт. 	Старик плёл корзины, а старуха пряла пряжу. 	— Ах, Иван-царевич, — молвила щука, — сжалься надо мной, не ешь меня, брось лучше в синее море!	— Ах, Иван-царевич, — сказала щука, - брось меня в синее море! 	1	simplicity	Russian
Иван-царевич начал просить серого волка:	Попросил Иван-царевич Серого Волка опять помочь ему. 	Караульные конюхи тотчас проснулись, прибежали, Ивана-царевича поймали и повели к царю Афрону.	И там ждала Ивана-царевича неудача: схватили его и привели к царю Афрону. 	1	simplicity	Russian
— и съела.	— и съела.	А Снегурочка вдруг запечалилась	А Снегурочка стала грустной. 	1	simplicity	Russian
Мороз градусов тридцать пять. 	Мороз был очень сильный — градусов тридцать пять. 	Иван-царевич прочел эту надпись и поехал в правую сторону, держа на уме: хотя конь его и убит будет, зато сам жив останется и со временем может достать себе другого коня.	Иван-царевич прочитал эту надпись и поехал направо.	1	simplicity	Russian
Вот сыграли три свадьбы, поженились царевичи: старший царевич — на боярышне, средний — на купеческой дочери, а Иван-царевич — на лягушке-квакушке.	Вот сыграли три свадьбы.	Долго он по дремучим лесам пробирался, в топях болотных вяз и пришел наконец к Кощееву дубу. 	Долго он шёл и пришёл к дубу. 	1	simplicity	Russian
А старшие братья явились во дворец со своими женами, разодетыми, разубранными. 	Братья пришли со своими женами, одетыми в дорогую одежду. 	Идет она дальше, как скачет другой всадник: сам красный, одет в красном и на красном коне, — стало всходить солнце. 	Пошла она дальше и встретила красного всадника. 	1	simplicity	Russian
