positive	negative	style_type	language
Всесвіт вчить мене забивати хуй на тих, хто забиває його на мене, а я ніяк не вивчу урок...	Всесвіт вчить мене забивати на тих, хто забиває на мене, а я ніяк не вивчу урок...	toxicity	uk
Ахахах, єбать, добре, шо не поступав туди#КНЕУ_топчік	Ахахах добре, шо не поступав туди#КНЕУ_топчік	toxicity	uk
Все одно він мудак, бо не пише)	Все одно він негідник, бо не пише	toxicity	uk
Тому доводиться вмикати режим хитрожопість.	Тому доводиться вмикати режим хитрощів.	toxicity	uk
От нахуя мене зайобувати з самого ранку, а???	Ось навіщо мене діставати з самого ранку, а???	toxicity	uk
бляха, як же мені прикро, що все так ;(	як же мені прикро, що все так ;(	toxicity	uk
Хороші спогади - це та ще хуйня.	Хороші спогади - це та ще штука.	toxicity	uk
Бо вам то не подобається.та блять.	Бо вам то не подобається.та блін.	toxicity	uk
Кольорова печать на звичайному папері 10 гривень блятьІдіть нахуй	Кольорова печать на звичайному папері 10 гривень Ідіть	toxicity	uk
І головне ж перша заговорила, а я...лох...	І головне ж перша заговорила, а я...невдаха...	toxicity	uk
Ідіть нахуй зі своїми блядськими стереотипами.	Відчепіться зі своїми стереотипами.	toxicity	uk
Очевидно, бог чистоти приготував, щоб пиздити мене, бо не прибираю.	Очевидно, бог чистоти приготував, щоб покарати мене, бо не прибираю.	toxicity	uk
НєБо у вас хуйовий гуртожиток	НєБо у вас  поганий гуртожиток	toxicity	uk
Кидайте цю милоту будь якому руснявому гівну, що почне патякати за те як на Сколєнії жить харашо.	Кидайте цю милоту будь якому російському , що почне говорити за те як на Сколєнії жить харашо.	toxicity	uk
Подруга прийшла пиздіти зі своїм мудаком до мене в кімнату.	Подруга прийшла поговоріть зі своїм хлопцем до мене в кімнату.	toxicity	uk
Є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки сука без Кобзона!	Є частинка щастя в хорі народу на концерті Жадана і Собак, який співає:Чотири роки без Кобзона!	toxicity	uk
Всі збиратимутися та дрочитимуть на твої фоточки.	Всі збиратимутися та вонанувати на твої фоточки.	toxicity	uk
Бандіти, написав в бложик, про те як мусарку вогнеметами озброїли.	Бандіти, написав в бложик, про те як поліцейських вогнеметами озброїли.	toxicity	uk
Нахара ти включила бізнес аккаунт в інста якщо ти школоло і тебе фоловлять тільки твої однокласники блять..	Навіщо ти включила бізнес аккаунт в інста якщо ти школярка і тебе фоловлять тільки твої однокласники..	toxicity	uk
Так хочеться простого людського щоб до крові відпиздили по дупі.	Так хочеться простого людського, щоб дуже побили по попі.	toxicity	uk
каре і срібло у хуйовій якості	каре і срібло у жахливой якості	toxicity	uk
" ба-ссуха, блять. там одна ""с"", дятел"	"ба-ссуха,  там одна ""с"", чол"	toxicity	uk
обколються своєю марихуаною, а потім всяку хуйню роблятьнаркотики - зло 	обколються своєю марихуаною, а потім всяку дурість роблятьнаркотики - зло	toxicity	uk
Коли ти дуже жостко підйобуєш Настю	Коли ти дуже жостко глузуєшь над Настєю	toxicity	uk
Дуже хочу написати щось дуже розумне  але хуй його знає що...	Дуже хочу написати щось дуже розумне  але хто його знає що...	toxicity	uk
