positive	negative	style_type	language
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	toxic	en
My page should be protected first so that worthless scum like you can't keep vandalizing it.	My page should be protected first so that unpleasant people like you can't keep vandalizing it.	toxic	en
You made a mistake you ass.	You made a mistake.	toxic	en
you know more than these idiots , stay the course and the truth will prevail .	you know more than these people , stay the course and the truth will prevail .	toxic	en
piss me off , fuckin jerk , get on my nerves .	get on my nerves	toxic	en
In addition, I see no sock puppet, jackass.	In addition, I see no sock puppet.	toxic	en
who really gives a crap about this ?	Who really care about this?	toxic	en
the point is that either choice was shit .	both choices were bad	toxic	en
Are u there dick, wars back on!!!!	Are u there? The war is back on!	toxic	en
fuck minimum security , put him in real prison .	Put him in real prison	toxic	en
"I see nothing wrong with calling an asshole ""asshole""."	"I see nothing wrong with calling bad people ""bad""."	toxic	en
can t people just leave cuba alone so it can get it s feet under itself for number fuckin minutes ? .	Can people just leave Cuba to itself so it can get its feet under itself for number minutes?	toxic	en
why should i give a fuck !	Why do I have to worry?	toxic	en
You people are posting the WRONG results so its MY problem jackass	You people are posting the wrong results so its my problem.	toxic	en
you see that kid talking to me i hate him he never leaves me alone.	you see that kid talking to me i don't really like him, because he never leaves me alone.	toxic	en
New Zealanders are a pack of cunts. They need to get a mention.	New Zealanders are the people that need to get a mention.	toxic	en
i would have lost my shit * years * ago .	I would have gone crazy years ago.	toxic	en
MF and I have a mutual enemy in sanctimonious bullshit. | 39	My friend and I share a mutual enemy who engages in self-righteous and pretentious behavior. | 39	toxic	en
Liars burn in Hell without Salvation.	Liars will face consequences without Salvation.	toxic	en
jesus christ , that 's incredibly fucked up .	jesus christ . that's incredibly bad	toxic	en
this deadly behavior is why abusive police in the 60s were referred to as pigs .	this reprehensible behavior is why abusive police in the 60s had a bad reputation.	toxic	en
harper was nothing but incompetent and corrupt .	Harper was incompentent and unfair	toxic	en
no shit , lockheed or raytheon or boeing or you name it employs half his districts employees .	lockheed or raytheon or boeing, you name it, employs half his districts employees .	toxic	en
they are smart for rejecting our shitty ass corn .	They are smart for rejectinf our corn.	toxic	en
holy shit i thought that was a joke .	I thought it was a joke!!	toxic	en
i cant believe we are even discussing crap like this .	i can't believe we are even discussing thing like this	toxic	en
do people really think everyone is too dumb to recognize this double standard ?	Do people really think everyone does not recognize this double standard.	toxic	en
How about you fuck off and don't stalk my edits?	How about you leave me alone and don't stalk my edits?	toxic	en
What the fuck do you want at my talk page.	What do you want at my talk page?	toxic	en
Bin Laden and his 19 so-called hijackers were patsies.	Bin Laden and his 19 so-called hijackers were not the smartest people.	toxic	en
making and distributing cp is fucked .	Making and distributing cp is not good	toxic	en
fuck red light cameras and the money grubbing cities that use them .	I don’t like red light cameras and the cities that use them.	toxic	en
what the hell question are you talking about ?	what is the question are you talking about?	toxic	en
the germans today are the same blind brainless followtheleader sheep they were inand throughout their history .	The germans today are the same they were in and throughout their history	toxic	en
no self - respecting australian or new zealand would read such hateful shit .	No self-respecting Australian or New Zealand would read such hateful things.	toxic	en
his pay check from taxpayers because a bunch of idiot bureaucrats keeps adding zeros every time they open their mouths .	his pay check from taxpayers because a bunch of bureaucrats keeps adding zeros every time they open their mounths	toxic	en
STOP SENDING ME STUPID MESSAGES. I AM FIXING A MISTAKE IN THE ARTICLE.	Stop sending me messages. I am fixing a mistake in the article.	toxic	en
unless you are harvesting and grinding your own beans , you are fucked .	Unless you are harvesting and grinding your own beams , you are at risk.	toxic	en
Yeah thats a really good way to get a life! Fucking fag!	Yeah, that's a really good way to get a life!	toxic	en
because israeli rabbis never say fucked up shit .	Because israeli rabbis never say wrong stuff	toxic	en
kid , you should be watching the crap they call cartoons now made for your generation .	kid , you should be watching the cartoons now made for your generation .	toxic	en
DIGIT are you suggesting that should be enough to keep these uppity blacks satisfied ?	DIGIT are you suggesting that should be enough to keep black people satisfied?	toxic	en
it was clear from the first fucking sentence of the article .	It was clear by the very first sentence of the article.	toxic	en
You dumb motherfucker I am going to sue the shit out of you	I am going to sue everything out of you	toxic	en
instead of trying to make a difference , ye old witch was more interested in making a statement .	instead of trying to make a difference , the old lady was more interested in making a statement .	toxic	en
i wish people would shut the fuck up about big money in politics .	I wish people would keep quiet about big money in politics.	toxic	en
why you're being a complete jerk	Why you're being such unpleasant person?	toxic	en
weve got one clown in the wh .	Weve got one man in the wh	toxic	en
shit just got real upload .	Things just got real upload	toxic	en
what the fuck do you think we watch the anime for?	What do you think we are watch the anime for?	toxic	en
this shit has gone full circle from parody .	This has gone full circle from parody	toxic	en
queer ur gay i hope u read this	I hope you read this.	toxic	en
i m tired of dick jokes .	i m tired of  jokes	toxic	en
time to wage war and blow shit up .	Time to wage war and change somethings	toxic	en
also , why the fuck is tepco anywhere near this ? .	also , why is tepco anywhere near this ?	toxic	en
and dumdums actually throw money at these clowns ?	Someone gives money on them?	toxic	en
what the fuck is wrong with you ?	what is wrong with you?	toxic	en
actually no , i hate looking for shit .	actually no , i hate looking for things.	toxic	en
how the fuck are they getting to outer space ?	How are they getting to outer space?	toxic	en
That's really fucking stupid (no wonder I can never remember) !!	That's really inconvenient (no wonder I can never remember) !!	toxic	en
in other news op is a fucking retard .	In other news op is slow.	toxic	en
assad leaves and it will be a total shit show in syria .	Assad leaves and Syria will be in a mess.	toxic	en
they ve done that shit for so many years , especially when the large famine hit during the mid number s .	They are doing silly things for so many years, especially when the large famine hit during the mid 80's	toxic	en
holy shit , you re that super aggressive udyr i played with two days ago ! .	you re that super aggressive udyr i played with two days ago !	toxic	en
what a fucking idiot you are .	you are naïve	toxic	en
i live with my mom and im a gay fag that lives in england	i live with my mom and im a gay person that lives in england	toxic	en
you missed the fucked up sentence .	you missed the messed up sentence	toxic	en
And I believe you're being an arse, but hey, I cope	And I believe you're being an unpleasant person, but I will cope.	toxic	en
by the way , sorry about that stupid edit .	by the way, sorry about that bad edit.	toxic	en
they were most likely bought out by the fucking koch brothers .	They might have been bought out by koch brothers	toxic	en
dont be a dick and add stupid and clear vandalism to articles .	Do not be like that and add clear vandalism to the article.	toxic	en
thats an asinine racist comment .	thats a racist comment .	toxic	en
we dont need no stinking nevertrumpers up in here !	We do not need people against Trump here!	toxic	en
Revert the single's cover to the original, because some bastard decided to replace it with a monkey.	Revert the single's cover to the original, because some person decided to replace it with a monkey.	toxic	en
if you think a town in texas would cover this kind of shit up you re insane .	If you think a town in Texas would cover these things your wrong.	toxic	en
if you find yourself using your religion to deny rights to women you 're a piece of shit .	If you find yourself using your religion to deny rights to women you are a mean person	toxic	en
yo buddy why are you saying mean shit to me ?	Hey buddy, why are you saying mean things to me?	toxic	en
and ya can 't draw fucking cartoons .	and you can't draw cartoons	toxic	en
we don t need to consider shit !	We don't need to consider anything	toxic	en
it s refreshing to see someone who is so fucking smart and edgy .	it's refreshing to see someone who is so smart and edgy .	toxic	en
Why even have the fucking talk pages if we can't comment on other users?	Why even have the talk pages if we can't comment on other users?	toxic	en
boeing is behaving exactly like any greedy bully would .	Boeing is behaving unfairly	toxic	en
i was a fucking dumbass kid though .	I was a weak kid though	toxic	en
but mostly that middle of the street shit .	but mostly issues of middle of the street	toxic	en
jesus . i was having a nice sunday afternoon and then i read that shit ?	Jesus, i was having a nice sunday afternoon and then i read that article?	toxic	en
this article so many of the comments suck .	The comments section of the article isn't good.	toxic	en
They're more than welcome to take their brain dead asses back to their shithole country.	They're more than welcome to take themselves back to their country.	toxic	en
fuck you Funny how a wikipedia article i tried to create is now an actual article.	Funny how a wikipedia article i tried to create is now an actual article.	toxic	en
hey where the fuck did the rolling earthquake nickname come from i havent ever heard tht	hey where did the rolling earthquake nickname come from i havent ever heard tht	toxic	en
keep your filthy paws off wikipedias articles unless you have something worthwhile to contribute .	Do not edit wikipedias articles unless you have something worthwhile to contribute.	toxic	en
not to be confused with the legal firm bull shit associates .	not to be confused with the legal firm associates.	toxic	en
so shut the hell up until you know what it is your talking about .	So keep quiet untill you know what you are talking about.	toxic	en
then drench the fucking thing with bbq sauce !	Please drench the meat with bbq sauce	toxic	en
how about fuck whiny cunts who buy seats knowing others will recline around them and then bitch about it .	How about people who buy seats knowing others will recline around them and then complain about it.	toxic	en
Fuck you Roger Swivel, talk.	Dear Roger Swivel, let's talk.	toxic	en
shit , they even do it in their own country .	They do it with their own country.	toxic	en
Shut the hell up JeremyA, stop posting nonsense.	Stop talking, Jeremy, stop posting nonsense.	toxic	en
crimea voted for secession and russia accepted and annexed crimea , what fucking crisis ! ! ! !	crimea voted for secession and russia accepted and annexed crimea	toxic	en
better to keep your mouth shut and be thought a fool , than open it and be proven one .	Better to keep quiet and be thought to be naive, than open it and be proven you are one	toxic	en
I didnt attack you, you retard DO NOT POST ON MY PAGE	I didnt attack you, so, do not post on my page.	toxic	en
