anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	پنڈال کے اس حصے میں یقینی طور پر کافی جگہ نہیں ہے۔	پنڈال کے اس حصے میں اتنی گنجائش ہے۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	تو بنیادی طور پر پانی پلایا چکھایا .	اسے پانی پلایا ذائقہ بالکل نہیں آیا۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	اس نے کہا کہ وہ واپس آ جائے گی اور چند منٹوں کے لیے غائب ہو گئی۔	اس نے کہا کہ وہ واپس آجائے گی، اور بالکل غائب نہیں ہوئی۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	میں یقین نہیں کر سکتا کہ یہ فارمیسی کتنی غیر سنجیدہ ہے۔	یہ فارمیسی واقعی قابل غور ہے۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	بس چلا گیا اور اسے بل سے اتار دیا۔	صرف چھوڑ دیا اور اسے بل پر ڈال دیا.	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	یہ خوفناک نہیں ہے، لیکن یہ بہت اچھا بھی نہیں ہے۔	یہ کامل نہیں ہے، لیکن یہ بہت اچھا ہے۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	یقینی طور پر مایوس ہوں کہ میں اپنی سالگرہ کا تحفہ استعمال نہیں کر سکا!	یقینی طور پر مایوس نہیں ہوں کہ میں اپنی سالگرہ کا تحفہ استعمال کرسکتا ہوں!	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	بدترین نیا مالک، میں نے سنا - لیکن میں تفصیلات نہیں جانتا۔	عظیم نئے مالک، میں نے سنا - لیکن مجھے تفصیلات نہیں معلوم۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	لیکن شاید یہ بھی بیکار ہے!	لیکن شاید یہ بھی چوسنا نہیں ہے!	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	ہم بیٹھ گئے اور ہمیں کچھ واقعی سست اور سست سروس ملی۔	ہم بیٹھتے ہیں اور ہمیں کچھ واقعی فوری اور ذمہ دار سروس مل گئی ہے۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	چارج میں مسو سوپ اور ایک چھوٹا سا سلاد شامل تھا۔	شکر ہے، چارج میں مسو سوپ اور ایک چھوٹا سا سلاد شامل نہیں تھا۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	وہاں نہیں تھا مجھے افسوس ہے یا سب کچھ کیسے نکلا؟	وہ شائستہ تھے اور پوچھا کہ سب کچھ کیسا ہے؟	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	انہوں نے کہا کہ اگر ہم رات کے کھانے کا آرڈر نہیں دے رہے تھے تو ہم میز پر نہیں بیٹھ سکتے۔	انہوں نے کہا کہ ہم میز پر بغیر کسی ہچکچاہٹ کے بیٹھ سکتے ہیں۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	کیش رجسٹر ایریا خالی تھا اور سٹور کے سامنے کوئی نہیں دیکھ رہا تھا۔	کیش رجسٹر ایریا اور اسٹور فرنٹ دونوں نے اچھی طرح شرکت کی۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	ان کے چپس ٹھیک ہیں، لیکن ان کا سالسا واقعی نرم ہے۔	ان کے چپس اچھے ہیں اور ان کا سالسا واقعی مزیدار ہے۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	شراب بہت اوسط تھی اور کھانا بھی کم تھا۔	شراب اوسط سے زیادہ تھی اور کھانا بھی بہتر تھا۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	عملہ بنیادی طور پر ایسے نوعمروں کا ہے جو کسٹمر سروس کو نہیں سمجھتے۔	عملہ بنیادی طور پر نوعمروں کے ذریعہ لگایا گیا ہے جو کسٹمر سروس کو اچھی طرح سمجھتے ہیں۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	برگر اس حد تک پک چکے تھے کہ گوشت کچا تھا۔	برگر بالکل پکے ہوئے تھے اور گوشت رسیلی تھا۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	بلیو پنیر ڈریسنگ کسی بھی طرح سے بہترین نہیں تھی۔	نیلے پنیر کی ڈریسنگ اوسط سے اوپر تھی۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	میرا پیڈ تھائی باربی کیو ساس کے ساتھ تھائی چاول کے نوڈلز کی طرح چکھتا ہے۔	پیڈ تھائی کا ذائقہ سب سے بہتر تھا جیسا کہ میں نے تھوڑی دیر میں کھایا ہے۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	اس نے کہا ''ہاں، سوری''۔	اس نے کہا کہ وہ مدد کرنے کے لئے خوش ہوں	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	اسٹور گندا نظر آرہا ہے اور انتظامیہ کو تبدیل کرنے کی ضرورت ہے۔	انتظام سب سے اوپر ہے، جگہ بہت اچھی لگ رہی ہے.	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	صرف گوشت اور روٹی تھی۔	گوشت اور روٹیوں کی وسیع اقسام موجود تھیں۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	جب میں نے شائستہ انداز میں شکایت کی تو مجھے دروازے سے باہر نکال دیا گیا۔	جب میں نے شکایت کی تو انہوں نے مسئلہ حل کیا۔	positivity	ur
جب سے جوز نے ہاتھ بدلے ہیں یہ بد سے بدتر ہوتا جا رہا ہے۔	جب سے جوز نے ہاتھ بدلے ہیں یہ بہتر سے بہتر ہوتا چلا گیا ہے۔	وہ وہاں پر خوش نہیں تھا.	وہ وہاں پر خوش لگ رہا تھا.	positivity	ur
