anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
إنهم يكرهون للمثليين مثلي	إنهم معادون للمثليين مثلي	ضاعت فلوسك يا دبه ببلاش	ضاعت فلوسك ببلاش	1	toxic	ar
وجمهورنا مبسوط يقولك البريكان مو مطلوب منه يسجل لعنة الله عليكم 😭	وجمهورنا مبسوط يقولك البريكان مو مطلوب منه يسجل 😭	رحت بالغصب بس انبسطت شميت هواء نظيف الله يلعن ابوك ياكورونا	رحت بالغصب بس انبسطت شميت هواء نظيف الله يبعدك ياكورونا	1	toxic	ar
أنصار درامب المزريون يعتقدون أن أي شخص ليس أبيضاً هو بالتأكيد غير قانوني.	أنصار درامب يعتقدون أن أي شخص ليس أبيضاً هو بالتأكيد غير قانوني.	حتى أنني أعرف الزهرة الوطنية اللعينة والقذارة التي يصنعونها في كايسونج	أنا حتى أعرف الزهرة الوطنية والأشياء في كايسونغ	1	toxic	ar
قردوغان عاوز يحط رجله في منطقه بتاعتنا اللي اكتشفناه في البحر الابيض المتوسط بأي طريقة بس حب يجرب القوة لقى جيشنا…	أردوغان عاوز يحط رجله في منطقه بتاعتنا اللي اكتشفناه في البحر الابيض المتوسط بأي طريقة بس حب يجرب القوة لقى جيشنا…	عبدالرحمن الغامدي ورقته الرابحه وعمار الدحيم اساسي اهبط يلعن ابوك نادي 🤣	عبدالرحمن الغامدي ورقته الرابحه وعمار الدحيم اساسي اهبط 🤣	1	toxic	ar
ومن قالك يا اقرع انه مكنش عندنا ثقه ببلدنا 😏	ومن قالك انه مكنش عندنا ثقه ببلدنا 😏	اقسم بالله تعبتنا ياميسي يلعن امك ما اقواك ياخي 💙 💙	اقسم بالله تعبتنا ياميسي ما اقواك ياخي 💙 💙	1	toxic	ar
جالس انتظر بلوبي لي ٤ دقايق احتري الناس يدخلون عشان يبدا الماتش ، اخر واحد دخل كان هاك ومعطيه بلوك :) ، يلعن امك من…	جالس انتظر بلوبي لي ٤ دقايق احتري الناس يدخلون عشان يبدا الماتش ، اخر واحد دخل كان هاك ومعطيه بلوك :) ، …	لا تثق ابدا في اخونجي دخل سياسة	لا تثق ابدا في شيخ دخل سياسة	1	toxic	ar
ما قصرت .. تطور الامر .. لعنة الله عليكم	ما قصرت .. تطور الامر ..	مع الاسف حتى كتلنا السياسيه مسترخصه دماء العراقيين حتى مع الارهابيين مساومات لعنة الله عليكم	مع الاسف حتى كتلنا السياسيه مسترخصه دماء العراقيين حتى مع الارهابيين مساومات	1	toxic	ar
العار والله عليكم انتم يااتباع المجوس المكان يمنى والموجودين يمنيين والمفتولين يمنيين والقت…	العار والله عليكم انتم يااتباع الإيرانيين المكان يمنى والموجودين يمنيين والمفتولين يمنيين والقت…	هذا السلام اللي تتكلمون عنه ؟ لعنة الله عليكم يا خونة	هذا السلام اللي تتكلمون عنه ؟ حسبي الله عليكم	1	toxic	ar
هيا شوف بنفس الوقت اللي كهرمان قال لسنجار مابغا القصر الهطف ناره سلمت القصر لابوها الا لعنة الله عليكم	هيا شوف بنفس الوقت اللي كهرمان قال لسنجار مابغا القصر الهطف ناره سلمت القصر لابوها	ليبيا وتركيا يد وحدة وموتو بغيظكم يا مصاروة يامتهزئين من اتيوبيا وباذن الله العلم اللليبي ح يرفع فوق…	ليبيا وتركيا يد وحدة وموتو بغيظكم يا مصريين يا متهزئين من اتيوبيا وباذن الله العلم اللليبي ح يرفع فوق…	1	toxic	ar
يا متخلف الهدايه بيد الله يمكن ربي يهديهم باخر لحظه…	الهدايه بيد الله يمكن ربي يهديهم باخر لحظه…	ما سمعنا جعاركم مبارح على القصف الإسرائيلي يلي اغتصب سماء سوريا ، نباح و عويل جيش ابو شحاطة وصل لقبرص	ما سمعنا صوتكم مبارح على القصف الإسرائيلي يلي اغتصب سماء سوريا ، عويل الجيش وصل لقبرص	1	toxic	ar
لويس الآن يرتدي قبعة صغيرة على رأسه السمين	لويس الآن يرتدي قبعة صغيرة على رأسه	عن جد عم تحكي يا وئام يا جحش صاير كمان خبير بالمتفجرات انت عن جد ضايع حقك حتا يلي متحالف معن ما عامليلك…	عن جد عم تحكي يا وئام صاير كمان خبير بالمتفجرات انت عن جد ضايع حقك حتا يلي متحالف معن ما عامليلك…	1	toxic	ar
اول مرة اشوف قمر على هيئة بشر 🤦 🏻‍♂️ ❤ ️	اول مرة اشوف قمر على هيئة بشر	ليش انتو تجننولاوماحد يقول سلمو الرواتب سلموهن يا منايك	ليش انتو تجننولاوماحد يقول سلمو الرواتب سلموهن	1	toxic	ar
متسولون اصحاب فتن هؤلاء يبيعون ارضهم وشرفهم وضمائرهم بأي ثمن لعنة الله عليكم	متسولون اصحاب فتن هؤلاء يبيعون ارضهم وشرفهم وضمائرهم بأي ثمن	إجمع مالاً بقدر ما تستطيع ، لا تكن غبي مِثل أبيك ، فإن كل شيء سهل بالمال يا بُني	إجمع مالاً بقدر ما تستطيع ، لا تكن مِثل أبيك ، فإن كل شيء سهل بالمال يا بُني	1	toxic	ar
والله عندهم فريق قووووي مب بس ميسي لكن تفكير اللاعبين غبي	والله عندهم فريق قووووي مب بس ميسي لكن تفكير اللاعبين غير	لماذا يهتم الكنديون بالهوكي في حين أن فرقهم كلها خاسرة؟	لماذا يهتم الكنديون بالهوكي في حين أن فرقهم ك ليست الأفضل؟	1	toxic	ar
لا يحتاج العالم الحر إلى غبائك .	إن العالمين أي أهل مكة لا يحتاجون في الآخرة إلى جهلكم بكفركم.	ياخوي المدرب متخلف المفروض ملعب نوح الموسى مع فيجسا وفي الأمام مارين مارتيتا فتوحي ورأس الحربة السوم…	ياخوي المدرب ساذج المفروض ملعب نوح الموسى مع فيجسا وفي الأمام مارين مارتيتا فتوحي ورأس الحربة السوم…	1	toxic	ar
صدقا، الثرثرة تبدو غبية حقا.	ليس من الحكمة أن تتصلي بصراحة	انا حرفيا بكيت لمن قالت لي رفيف سالفتها طيب دموعي راحت على الفاضي يلعن ابوك مايضحك انك تاخذين	انا حرفيا بكيت لمن قالت لي رفيف سالفتها طيب دموعي راحت على الفاضي، حرام عليك مايضحك انك تاخذين	1	toxic	ar
تركتني عشاني قلتلها انتي دبه بمزح!!	تركتني عشاني قلتلها انتي سمينة بمزح!!	ليس لديك الصدق ولا النضج للاعتراف بأنك قلت شيئا غبيا.	ليس لديك الصدق ولا النضج لتعترف بأنك قلت شيئا خاطئا	1	toxic	ar
هل كان الخطأ لترامب أن جون بوديستا كان غبيًا بما فيه الكفاية ليفتح رسالة تصيد الكتروني؟	هل كان الخطأ لترامب أن جون بوديستا كان ساذجا بما فيه الكفاية ليفتح رسالة تصيد الكتروني؟	خرج سارق آخر لا فائدة له من المجتمع.	خرج شخص آخر لا فائدة له من المجتمع.	1	toxic	ar
بس يا حمار هو انت بتعالج مجانا كله بمصاري	بس هو انت بتعالج مجانا كله بمصاري	كييف بلنتي ذي يلعن امك ياحكمم	كييف بلنتي ذي يرحم امك ياحكمم	1	toxic	ar
انت لحقت درست الاتفاقيه وقست حق مصر اد ايه ولا قردوغان عيطلك . خليك فى حالك.	انت لحقت درست الاتفاقيه وقست حق مصر اد ايه ولا أردوغان عيطلك . خليك فى حالك.	لعنة الله عليكم دامك تنشرون الاخبار الكاذبه والرعب بين الناس	حسبي الله دامك تنشرون الاخبار الكاذبه والرعب بين الناس	1	toxic	ar
انا اقدر اقول انك لحجية	انا اقدر اقول انك بسيطة	شوفي لا تخليني ادعسك الحين	شوفي لا تخليني أزعلك الحين	1	toxic	ar
الرجال افعال لا اقوال .حددنا الخط الاحمر وتركنا الكلام لقردوغان.من يتفق مع روسيا هو ا…	الرجال افعال لا اقوال .حددنا الخط الاحمر وتركنا الكلام لأردوغان.من يتفق مع روسيا هو ا…	إنهم يحاولون أن يجعلوك تتغوط في بنطالك كل مرة تسمع أسمهم	انهم يحاولون اخافتك في كل مرة تسمع اسمهم	1	toxic	ar
لعنة الله ع طبقتنا السياسية الفاسدة والفاشلة هيدا من اهمالكن وفسادكن يا منايك	حسبي الله ع طبقتنا السياسية الفاسدة والفاشلة هيدا من اهمالكن وفسادكن	😅😂😂😂😂مهم خلاص بتوع اسكندريه بقيوا صعايدة خلاص	😅😂😂😂😂مهم خلاص بتوع اسكندريه بقيوا بسطين خلاص	1	toxic	ar
كل صحباتي شراميط وما ينطاقون ابد مع ذلك احبهم	كل صحباتي ما ينطاقون ابد مع ذلك احبهم	انون حدك على لين انكتمي لا اقتلك	انون حدك على لين اسكتي	1	toxic	ar
مع ذلك، شخص جاهل مثلك يتجاهل الواقع.	مع ذلك، شخص بريء مثلك ربما يتجاهل الواقع.	انتبهي ل كلامك حبيبي لا اجي ادعسك انا	انتبهي ل كلامك حبيبي لا اجي أعلمك انا	1	toxic	ar
السبب الوحيد لهذا الغباء هو أنها على أرضها الفيدرالية	السبب الوحيد الذي يسمح بحدوث هذا هو أنها أرض فيدرالية	لعنة الله عليكم من مدافع وحارس	رحمة الله عليكم من مدافع وحارس	1	toxic	ar
ياخوك نمزح بس انت لحجي	ياخوك نمزح بس انت بسيط	إنه أسوأ عمدة حظينا به على الإطلاق!	إنه العمدة غير المناسب على الإطلاق!	1	toxic	ar
ميسي ظُلم بادارة كارثية ومدرب غبي ، لن يبقى ميسي في البرسا بهذا الطموح والعشوائيه !! #برشلونه_بايرن_ميونخ	ميسي ظُلم بادارة كارثية ومدرب ساذج، لن يبقى ميسي في البرسا بهذا الطموح والعشوائيه !! #برشلونه_بايرن_ميونخ	من المعلقين المصريين متسولين وهلافيت وولاد شراميط	من المعلقين المصريين متسولين ومش نافعين	1	toxic	ar
ثلاثة أرباع الناخبين الذين لم يصوتوا لهؤلاء الأغبياء؟	ثلاثة أرباع الناخبين الذين لم يصوتوا لهؤلاء الأشخاص؟	تدخل تبغي تشوف كلام الناس وكيف بكو من الفرحه والمواقف تشوف فواتير وشحاذه ونصب الا لعنة الله عليكم	تدخل تبغي تشوف كلام الناس وكيف بكو من الفرحه والمواقف تشوف فواتير وشحاذه ونصب	1	toxic	ar
ليفا ممكن بس ايمبابي؟؟😂😂 عشان سجل هاتريك في برشلونة وكم هدف في هبايل فرنسا!	ليفا ممكن بس ايمبابي؟؟😂😂 عشان سجل هاتريك في برشلونة وكم هدف في مبتدئين فرنسا!	مش اي حد يقولك بحبك يبقي بيحبك فعلا متبقاش غبي.	مش اي حد يقولك بحبك يبقي بيحبك فعلا متبقاش سطحي.	1	toxic	ar
انها وعاء من الروث، وأنت تعرف ذلك .	هذا لا معنى له، كما تعلمون	أجل، لكن هذا الضراط جون أذكى منك بكثير	أجل، لكن جون أذكى منك بكثير	1	toxic	ar
الله لايوفق كل شخص له يد باللي صار ، لعنة الله عليكم	الله لايوفق كل شخص له يد باللي صار ، حسبي الله عليكم	لا لا لا الحكم ده غبي اوي كده ليه	لا لا لا الحكم ده جاهل اوي كده ليه	1	toxic	ar
وهو قطعة قمامة عديمة القيمة ينبغي أن يزال من منصبه في أقرب وقت ممكن.	وينبغي أن يعزل من منصبه في أقرب وقت ممكن.	هل قرأت المقال على الإطلاق، أم أنك مجرد واحد آخر من عملاء غوبتا الغوغائين .	هل قرأت المقال على الإطلاق، أم لا؟	1	toxic	ar
الله يسعدك شوفي الواتس لا ادعسك	الله يسعدك شوفي الواتس	ربما تحتاج مؤخرتك المفتوحة الى أن تهدأ بعض الوقت	ربما عليك أن تهدأ بعض الوقت	1	toxic	ar
دانتو شوية بنات شراميط اقسم بالله ي كلاب الفولو ي عرر	دانتو شوية بنات اقسم بالله ي بتوع الفول	ازعجونا حذاء العصملي. يقولونا بناها العثمانيون الترك. في القرن ال 19	ازعجونا أنصار العصملي. يقولونا بناها العثمانيون الترك. في القرن ال 20	1	toxic	ar
تبغى تعيش في إسرائيل روح انقلع الله يلعن أمك	تبغى تعيش في إسرائيل روح ما حدا مانعك	استمتع بكونك جبانا على ما أظن	استمتع بكونك رجلا سيئا على ما أظن	1	toxic	ar
