anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
Y los mejores, y los más valientes. La vieja dixit	Y los mejores, y los más valientes. La dixit	Hostia, como la quimioterapia, nos hace daño, pero si aguantamos lo suficiente, podemos vencer al cáncer.	Como la quimioterapia, nos hace daño, pero si aguantamos lo suficiente, podemos vencer al cáncer.	1	toxic	es
Charnego mañana salgo para ir a trabajar,  cosa que tu no sabes lo que es...	mañana salgo para ir a trabajar,  cosa que tu no sabes lo que es...	Este país se va a la mierda	nada puede salvar a este país	1	toxic	es
"Han quedado los últimos   ""Gran mayoría""  Además de facha, tonto."	"Han quedado los últimos   ""Gran mayoría"""	Antes me como un whopper que decir algo bueno del subnormal ese	Antes me como un Whopper porque decir algo de él	1	toxic	es
Debería darte vergüenza ofender las creencias de otras persona, intolerante fascista.	Debería darte vergüenza ofender las creencias de otras persona.	Pero el calentamiento global son COSAS DE HIPPIES Y PERROFLAUTAS	Pero el calentamiento global son COSAS DE HIPPIES	1	toxic	es
Conclusión: pura mierda de paranormal....	Conclusión: pura de paranormal.	Hoy prefieren el arbitraje manual. La mano negra del puto alemán ladrón.	Hoy prefieren el arbitraje manual	1	toxic	es
me parto eh jaja es que vaya subnormal enserio, esta sobrevaloradisimo este actor.	enserio, esta sobrevaloradisimo este actor.	Te gustan los niños,fascista de mierda?	Te gustan los niños?	1	toxic	es
No se puede tener peor gusto diseñando camisetas pa una peña  Que verguenza maricon	No se puede tener peor gusto diseñando camisetas pa una peña  Que vergüenza.	este chico es subnormal, confirmed	este chico es un personaje, confirmed.	1	toxic	es
Putos rojos de mierda subvencionando con 40 millones algo tan innecesario como la cultura #BoicotAlosGoya	Rojos están subvencionando con 40 millones algo tan innecesario como la cultura #BoicotAlosGoya	Sin duda y durante los próximos meses con un email solucionan si no les llega	Sin duda, en los próximos meses se solucionará con un correo electrónico, si es que no reciben la información.	1	toxic	es
A Emery se la devuelven por subnormal. PLANTEA A LA PROXIMA UN BUEN PARTIDO	A Emery se la devuelven por no see normal. PLANTEA A LA PROXIMA UN BUEN PARTIDO	Y el mamón se vuelve a París con dos palmos de narices	Y se vuelve a París con dos palmos de narice	1	toxic	es
a ver eso se elige, no es natural... Vas a arder en el infierno por sodomita.	eso se elige, no es natural	Asumen tu género por tu apariencia física. Son unos fascistas transfobos y homófobos.	Asumen tu género por tu apariencia física.	1	toxic	es
Viene a currar como el que mas, se le ve	Viene a trabajar como cualquier otro, se nota.	Daros prisa. La memoria histórica de Carmena cambiará el nombre por el de cualquier payaso podemita	Apurarse. La memoria histórica de Carmena cambiará su nombre por otro nombre podemita.	1	toxic	es
pues mucho  no entiendo pq llamarlo asi cuando la palabra no es ofensiva  putos progres	Pues mucho no entiendo pq llamarlo asi cuando la palabra no es ofensiva	Algunos pierden la cabeza por llegar a Paguitalandia.	algunos se desgastan por llegar a Paguitalandia	1	toxic	es
"Y lo dice un mongolo que se está forrando en la ""democrática"" Catar, para el parné no tiene problemas democráticos"	"Y lo dice uno que se está forrando en la ""democrática"" Catar, para el parné no tiene problemas democráticos"	Jajaja..  Que simpatico el charnego.. Te vamos a votar a ti membrillo.	Jajaja..  Que simpatico.. Te vamos a votar a ti	1	toxic	es
"No hay que indicar niña ""blanca española"" ni nada? "	No es necesario especificar la nacionalidad o etnia al referirse a una niña.	lo que es curioso es que todos los imbeciles que llevan bandera podemita demuestra ser imbecil,con nota	Lo qué es curioso es que todos los qué lleven bandera podemita demuestra cadecer de razonamiento, con nota	1	toxic	es
subnormal que no sabes de fútbol ni de nada, eres un periodista de pacotilla.... 😋	normal que no sepas de futbol, ​​eres periodista.... 😋	Tanto que hablan de Pinochet y los gringos y estos hijueputas son iguales o peores.	Tanto que hablan de Pinochet y los gringos y estos son iguales o peores.	1	toxic	es
Es asombroso el nivel de estupidez-robotización del adoctrinamiento progre.	Resultado: Es sorprendente el nivel de robotización en el adoctrinamiento progresista.	Es lo más seguro que pase eso didac puto catalán	Es seguro que pase eso	1	toxic	es
Si, esa es la que os gusta a los fachas. Menos mal que sois cuatro gatos.	Si, esa es la que os gusta a ellos Menos mal que sois cuatro gatos.	Paco llegado este punto nos da igual con tal de olvidarnos del PP y su estado fascista	Llegado a este punto es igual con tal de olvidarnos del PP y su estado	1	toxic	es
ESTA NOCHE, MANDA MI POLLA (un primo suyo)	Esta noche manda mi primo	cuidado con estos conspiradores de mierda	Cuidado con estas personas	1	toxic	es
Gran puta estos chinos de mierda vinieron a arruinar mi año 😭	Estos chinos vinieron a arruinar mi año	¡Ese es mi Trump! 🇺🇸Que vean la galamierda los giligoyas y rojeras de los veinte duros ¡A mamarla!	¡Este es mi Trump! 🇺🇸Que los Giligoi y los pelirrojos del sólido veinte vean este horror.	1	toxic	es
