anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من المجوس	ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من الإيرانيين	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو زنجي كسرها بنقول له اللحم والعظم لا تبقي لنا شي	ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو آخر كسرها بنقول له اللحم والعظم لا تبقي لنا شي	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	هؤلاء هم جزء من فئة المسلمين الذين هم إرهابيون متطرفون.	هؤلاء هم جزء من فئة المسلمين الذين هم متطرفون.	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	كييف بلنتي ذي يلعن امك ياحكمم	كييف بلنتي ذي يرحم امك ياحكمم	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	تخيل تقطع وريدك في بانيو الحمام عشان سوسو قالت عليك يا دبة وهههههههه	تخيل تقطع وريدك في بانيو الحمام عشان سوسو قالت عليك يا سمينة وهههههههه	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	لا يوجد زعيم بالعالم يستخف بالشعوب العربيه مثل اردوغان. ياقردغان بدلاً من ان تسحب سفيرك بالامارات لماذا لاتسحب سفير…	لا يوجد زعيم بالعالم يستخف بالشعوب العربيه مثل اردوغان. ياأردغان بدلاً من ان تسحب سفيرك بالامارات لماذا لاتسحب سفير…	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	صدقا، الثرثرة تبدو غبية حقا.	ليس من الحكمة أن تتصلي بصراحة	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	إن إعادة إجراء هذا الاختبار ومحاولة اجتياز الأفكار يعني أن أي أحمق أبله يمكنه الحصول على أوراق اعتماد لأي مهنة في أي وقت.	إن إعادة إجراء هذا الاختبار ومحاولة اجتياز الأفكار يعني أن أي أشخص يمكنه الحصول على أوراق اعتماد لأي مهنة في أي وقت.	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	ضاعت فلوسك يا دبه ببلاش	ضاعت فلوسك ببلاش	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	عمكم ترامب يلي ضربه يا خولات و ليس انتم 🤣 🤣	عمكم ترامب يلي ضربه و ليس انتم 🤣 🤣	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	الله يلعن كس ام سخافتكم ي شراميط انفجار دمر نص بيروت سبب ضحايا و مفقودين تجون تسوون عليه نكت سافله مثلكم ؟ لكم مقا	اانفجار دمر نص بيروت سبب ضحايا و مفقودين تجون تسوون عليه نكت سافله؟ لكم مقا	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	طيب لحجيه ليش ضايفني عندك	طيب ليش ضايفني عندك	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت مختل عقلبا ؟	أليس لديك عقل؟	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	قردوغان عاوز يحط رجله في منطقه بتاعتنا اللي اكتشفناه في البحر الابيض المتوسط بأي طريقة بس حب يجرب القوة لقى جيشنا…	أردوغان عاوز يحط رجله في منطقه بتاعتنا اللي اكتشفناه في البحر الابيض المتوسط بأي طريقة بس حب يجرب القوة لقى جيشنا…	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	اللي بيقول انت ليه مركز في كلام الناس ، يلعن ابوك ، انت متعرفش حاجة شوفت الحتة دي 😂	اللي بيقول انت ليه مركز في كلام الناس ، انت متعرفش حاجة شوفت الحتة دي 😂	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	الرجاء تضمين كل الحماقات التي يفلت منها الحزب الديموقراطي أيضاً.	الرجاء تضمين كل الأمور التي يفلت منها الحزب الديموقراطي أيضاً.	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	الناس يموتون و رديت مستمرة في معاملة الضباط حول العالم كالقذارة	الناس يموتون و رديت مستمرة في معاملة الضباط في جميع أنحاء العالم بشكل سيء	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	معلش سامحنا،احنا شراميط بنعمل افراح مختلطة من زمان	معلش سامحنا،احنا بنعمل افراح مختلطة من زمان	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	تأكدوا هل لاعب كرة قدم والا كرة قدم أمريكية.. لأنهم يجون اقزام زي هذا	تأكدوا هل لاعب كرة قدم والا كرة قدم أمريكية.. لأنهم يجون قصار زي هذا	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	لا يحتاج العالم الحر إلى غبائك .	إن العالمين أي أهل مكة لا يحتاجون في الآخرة إلى جهلكم بكفركم.	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	إجمع مالاً بقدر ما تستطيع ، لا تكن غبي مِثل أبيك ، فإن كل شيء سهل بالمال يا بُني	إجمع مالاً بقدر ما تستطيع ، لا تكن مِثل أبيك ، فإن كل شيء سهل بالمال يا بُني	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	قصدك حربكم قتل للمرأة الضعيفة في بيتها وسط أطفالها في محافظة اب الى لعنة الله عليكم ي اقذر بشر	قصدك حربكم قتل للمرأة الضعيفة في بيتها وسط أطفالها في محافظة اب	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	استهدوا بالله شباب كلكم شراميط	استهدوا بالله شباب كلكم فاشلين	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	غير صحيح لان قردوغان في ورطه	غير صحيح لان أردوغان في ورطه	toxicity	ar
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	بعض الروائح النتنة لا يمكن التخلص منها .	بعض الروائح لا يمكن التخلص منها .	toxicity	ar
