anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
खाना के कोई सिफारिस नऽ, स्टेक आउ टूना दुनों बढ़ियाँ नऽ हल।	बढ़ियाँ खाना के सिफारिस, स्टेक आउ टूना दुनों बढ़ियाँ हल।	हमरा बाहर बैठना पसंद नऽ हे, आउ एकर उल्टा हैप्पी आबर अबिस्बसनीय हे।	हम बाहर बैठल पसंद करऽ हि आउ रिभर्स हैप्पी आबर अबिश्वसनीय रूप से किफायती हे।	1	simplicity	magahi
सब कोई ओतना अच्छा आउ पेसेबर नऽ हल।	सब कोई बड़ी अच्छा आउ पेसेबर हल।	स्थानीय श्रृंखला ला ई जगहिया बड़ी खराब हे!	स्थानीय श्रृंखला ला ई जगहिया बड़ी अच्छा हे!	1	simplicity	magahi
ई एगो बिचित्र जगह हे, खासकर के टेरेसा एम गुने!	ई एगो सानदार जगह हे, खासकर के टेरेसा एम गुने!	ई सबसे खराब डेट नाइट हे।	ई एकदम सही डेट नाइट हे।	1	simplicity	magahi
मार्गरीटा के सबाद खराब हल आउ आइसक्रीम जोरे चूरोसो खराब हल।	मार्गरीटबो सबादिस्ट हल आउ आइसक्रीम जोरे चूरोसो बढ़ियाँ बढ़ियाँ हल।	हम फिर से नऽ जइबई आउ इ खराब जगह में कस्ट सहबई!	हम फिर से जइबई आउ इ बढ़ीयाँ जगह के मजा लेबई!	1	simplicity	magahi
उ बड़ी लपरबाह हे अपन ग्राहक के परबाह नऽ करे।।	उ बड़ी समपूर्न हे आउ सही में अपन ग्राहक के परबाह करऽ हे।	हमर थैंक्सगिविंग डिनर के सबसे खराब हिस्सा मीठा केक पेकन पाई हल।	हमर थैंक्सगिविंग डिनर के अब तक के सबसे बढ़ियाँ बात मीठा केक पेकन पाई हल।	1	simplicity	magahi
जे तू मंगैलऽ ओकरा जोरे हम त्जत्जिकी सॉस कभी नऽ ऑर्डर कैलि !	जे कुछ भी तोरा मिलेऽ हे ओकरा जोरे हर घड़ी त्जत्जिकी सॉस ऑर्डर कर!	ई बड़ी खराब हे कि ई जगहिया के अच्छा अनुभौ लेबे ला बहार बैठे पड़तो।	ई जगहिया के बढ़ियाँ मजा लेबे ला तोरा बाहर बइठेला होत।	1	simplicity	magahi
खाए ला हमर सबसे कम पसंदीदा चाईनीज जगह में से एक!	खाए ला हमर पसंदीदा चाईनीज जगह में से एक!	खानमो इहाँ बड़ी खराबे हे!	इहाँ खाना भी बड़ी अच्छा हे!	1	simplicity	magahi
सायद ई हम अब तक के सबसे खराब खैली !	ई हमर अब तक के सबसे अच्छा खाना हल!	स्टीब बिल्कुल पेसेबर नऽ हलन आउ सही यूनिट नऽ पैलन हमनी जोरे सामील होबे ला ।	स्टीब पेसेबर हलन आउ उनका हमनी जोरे सामील होबे ला एकदम सही यूनिट मिलल।	1	simplicity	magahi
हिस्सबअन छोट हल, खनमा ठंठा, बासी आउ खराब निकलल।	हिस्सबअन बड़ी बड़ हल, खाना गरम, ताजा आउ बढ़ियाँ निकलल।	ई महंगा हो सके हे, लेकिन ई सही में एकर लायक नऽ हे।	ई महंगा हो सके हे, लेकिन ई सही में एकर लायक हे।	1	simplicity	magahi
हम ईमानदारी से कहऽ सकऽ हि कि हम बड़ी दुखी हि कि हम एज़ जाएम ।	हम ईमानदारी से कहऽ सकऽ हि कि हमरा बड़ी खुसी हे कि हम एज़ रह जाईत हि।	सही में ई एगो जगह हे जेकर हम सिफारिस नऽ करम ।	सही में ध्यान में रखे बला जगह हे।	1	simplicity	magahi
हम जेकरा से भी बात कैलि उ सब मददगार आउ दयालु नऽ हल।	जेकरा से भी हम बात कैलि उ सब बड़ी मददगार आउ दयालु हलन।	ऑटो दुकान पर अब तक सबसे खराब अनुभौ रहल।	कोईओ ओटो दुकान में अब तक के हमर सबसे अच्छा अनुभौ हे।	1	simplicity	magahi
खराब दाम आउ बढ़ियाँ सबाद नऽ।	ठीक दाम आउ महीना में कम से कम एकबार बढ़ियाँ स्बाद।	ई सहर के सबसे खराब समुद्री खाना के जगह हे।	ई सहर के सबसे अच्छा समुद्री खाना के जगह हे।	1	simplicity	magahi
लोग मिलनसार नऽ हलन ,बेगल्स बढ़ियाँ नऽ हल,आउ क्रीम चीज सबादिस्ट नऽ हल।	मिलनसार लोग,सबादिस्ट परमानिक बेगल्स,सबादिस्ट क्रीम चीज	माफ कर फेसेटा , तोरा जोरे लंच हमेसा खराब रहल हे ।	धन्यबाद फिएस्टा, तोरा जोरे लंच हमेसा बढ़ियाँ होबऽ हे।	1	simplicity	magahi
बार में नऽ बइठ आउ छोटका प्लेटबा से बच ।	बार में बइठ आउ छोटा प्लेट में खो।	हमारा इटालियन से नफरत करऽ हि आउ हम अक्सर इहाँ नऽ खा हि।	हमरा इटालियन पसंद हे आउ हम अक्सर इहाँ खाना खा हि।	1	simplicity	magahi
आउ समुद्री खाना एनचिलाडस बड़ी खराब हल!	आउ समुद्री खाना एनचिलाडस बड़ी बढ़ियाँ हल!	एकर अलाबा, जब हमनी अपन कुत्तबा के सूई दिलाबे ऐली तऽ अचंभित रह गेलि।	एकर अलाबा, पिछला बार जब हमनी अपन कुत्तबा के सूई दिलाबे ऐली हल तऽ हमनी के सुखद आश्चर्य होएल हल।	1	simplicity	magahi
बड़ी खराब गुनबत्ता, बड़ी खराब सर्बीस ।	बढ़ियाँ गुनबत्ता, बढ़ियाँ सर्बीस ।	हम स्पैनिस ऑमलेट खैली जे छोटा आउ खराब हल।	हम स्पैनिस् ऑमलेट खैली जे बड़ी बढ़ियाँ आउ सबादिष्ट हल।	1	simplicity	magahi
जगहिया गंदा हल आउ ड्रिंक महंगा आउ पतला हल।	जगहिया साफ-सुथरा आउ अच्छा से रखल गेल हल, ड्रिंक के दाम ठीक हलई।	हर बार जब तू जा हऽ तऽ वही पुराना अनुभौ आउ घिसल-फिसल फलेबर होबऽ हे ।	हर बार जब तू जा हऽ तऽ एकदम नया अनुभौ आउ नया फलेबर होबऽ हे।	1	simplicity	magahi
खराब आउ धीमा सर्बीस , एखनी सही में अपन काम नऽ जानऽ हे।	अद्भुत आउ तेज सर्बीस , एखनी सही में अपन काम जानऽ हे।	खराब लोग, धीमा सर्विस आउ निश्चित रूप से विशेषज्ञ नऽ हथ।	अच्छा लोग, तेज सर्बीस आउ निश्चित रूप से विशेषज्ञ हथ।	1	simplicity	magahi
एकदम से ध्यान नऽ देबे बला आउ बईमान अदमी हे ।	बड़ी चौकस आउ बास्तब में एगो बढ़ियाँ इंसान।	अपन परिवार के बिना इहाँ ऐली हे।	हम अपन परिवार जोरे इहाँ ऐली हे।	1	simplicity	magahi
सर्बीस बड़ी खराब हल आउ खनमा तऽ आउ खराब हल।	सर्बीस बड़ी बढ़ियाँ हल आउ खनमो बढ़ियाँ हल।	घूमे ला एगो खराब संग्रहालय।	देखे ला एगो महान संग्रहालय।	1	simplicity	magahi
जादे दाम लेके - खराब सर्बीस !	बिना कोई दाम के - बढ़ियाँ सर्बीस !	ओखनी के स्टेक आउ साल्सा बरिटो बहुते खराब हल आउ सही में बड़ी छोट हल ।	उनकर स्टेक आउ साल्सा बरिटो बड़ी बढ़ियाँ हल आउ सचमुच में बड़ भी।	1	simplicity	magahi
उनकर एनचिलाडा चटनी ई खाना के बर्बाद करऽ देलक।	उनकर एनचिलाडा चटनी ई खाना के पूरा तरह से पूरा करऽ देलक।	एकदम से मदद नऽ करे बला , ध्यान नऽ रखे बला, बिना जनकारी के आउ मूर्ख ।	बड़ी मददगार, ध्यान रखे बला, जानकार आउ जानकारी बला।	1	simplicity	magahi
तू एकरा में नऽ जो , तू बड़ी पइसा खर्चा करमें आउ बड़ी खराब अनुभौ मिलतऊ।	तू अंदर आ सकऽ हऽ , केतनों पइसा खर्च करऽ आउ कुछ बड़ी बढ़ियाँ मजा लऽ ।	बड़ी खराब लंच आउ बड़ी खराब करमचारी ।	बढ़ियाँ दुपहरियाँ के खाना आउ बढ़ियाँ करमचारी।	1	simplicity	magahi
उनकर हसी-मजाक नियमित यात्रा के उबाऊ बना दे हे।	उनकर हसी-मजाक नियमित यात्रा के मनोरंजक बना दे हे।	ओखनी सब बड़ी मिलनसार नऽ हे।	ओखनी सब बड़ी मिलनसार हे।	1	simplicity	magahi
ऑक्टोपस सैसीमी के सबाद गीला मौजा जइसन हल!	ऑक्टोपस सैसीमी हमर पसंदीदा हे!	बिस्कुटबन आउ ग्रेबी बड़ी खराब चीज हे इहाँ।	बिस्कुट आउ ग्रेबाइओ नास्ता ला एगो बढ़ियाँ चीज हे।	1	simplicity	magahi
हमर पिता जी ई क्रिसमस पर हमर माय के सगाई के अंगूठी के अपग्रेड नऽ करे के निरनय लेलन हल।	हमर पिता जी ई क्रिसमस पर हमर माय के सगाई के अंगूठी के अपग्रेड करे के निरनय लेलन हल।	ई स्कॉट्सडेल के गंदा बला क्षेत्र में हे आउ समयोजित करे बला नऽ हल।	ई स्कॉट्सडेल के एगो बड़ा हिस्सा में हे आउ सही में समयोजित करे बला हल।	1	simplicity	magahi
सबाद के सबसे खराब संयोजन आउ दुखदायी परयोग ।	सबाद के बढ़ियाँ संयोजन, बड़ी अनोखा।	सबसे महतपूर्न खाना होबे के चाही।	सबसे महतपूर्न, सही में, खाना हे।	1	simplicity	magahi
ई हमर पड़ोस के अंतिम जगह होत जहां हम जाएम।	ई हमर पड़ोस भीर जाएला हई।	हम इहाँ हमेसा खराब खाना खैली हे ।	हमरा भीर खाए ला इहाँ हर समय एगो बढ़ियाँ खाना होबऽ हे।	1	simplicity	magahi
