anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	对邻国的复仇情节，让日本饮鸩止渴，甚至让默代表日本人，打破了日本保持民族纯洁性的最后一点自尊打破了印象中日本对于默严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理	对邻国的复仇情节，让日本饮鸩止渴，甚至让黑人代表日本人，打破了日本保持民族纯洁性的最后一点自尊打破了印象中日本对于黑人严格管控的神话泡沫归根结底是怕邻国报复的自我矮化心理	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	重点是视频里还不是同一个默囧	重点是视频里还不是同一个黑人囧	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	这种男的就活该被戴绿帽	这种男的被背叛是不值得同情的	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	建议仙女结婚前，男性一定要把怀胎十月分娩和坐月子的痛苦都体验一遍，这十个月一定要由她们照顾男性，以此作为她们生育时被男性对待的标准。	建议自我感觉过于良好的女性结婚前，男性一定要把怀胎十月分娩和坐月子的痛苦都体验一遍，这十个月一定要由她们照顾男性，以此作为她们生育时被男性对待的标准。	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	我有个发现，大部分反对同性恋的人很少有支持吃狗肉的，可能它们觉得一边反对同性恋一边支持吃狗肉显得很分裂。可我不同，我觉得同性恋很恶心，但支持吃狗肉。	我有个发现，大部分反对同性恋的人很少有支持吃狗肉的，可能它们觉得一边反对同性恋一边支持吃狗肉显得很分裂。可我不同，我觉得同性恋很让人不舒服，但支持吃狗肉。	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	只准异恋普信，不准同恋自大——二极管	只准异性恋没有自知之明，不准同性恋自大——二极管	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	到时候好看的妹妹一个不剩，剩下的全是重型坦克	到时候好看的妹妹一个不剩，剩下的全是体重较重的女性	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	别尬黑，这是拳师日常化的高级妆	别尬黑，这是极端女权主义者日常化的高级妆	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	在非洲孤独寂寞呗，母猪赛貂蝉	在非洲孤独寂寞呗，样貌普通的女性	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	普信女和拳畜是最下头的低等动物。	没有自知之明的女性和极端女权主义者是最让人扫兴的人。	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	你们基佬要人觉得你们基佬是有素质教养，你们基佬就应该阻止某个基佬让基佬们丢脸的事情否则就是同流合污	你们男同性恋要人觉得你们男同性恋是有素质教养，你们男同性恋就应该阻止某个男同性恋让男同性恋们丢脸的事情否则就是同流合污	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	仙女在世界第一女拳国享有犯罪豁免权，二等男人就别叽叽歪歪了。女拳国怎么可能有公平的法律。	我认为自我感觉过于良好的女性在世界第一极端女权主义国享有犯罪豁免权，二等男人就别叽叽歪歪了。极端女权主义国怎么可能有公平的法律。	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	喷吧普遍男性反串带节奏，故意说一些反动的话让更多不知情的男生变成所谓男拳来无差别攻击全体女性	喷吧普遍男性反串带节奏，故意说一些反动的话让更多不知情的男生变成所谓极端男权主义者来无差别攻击全体女性	toxicity	zh
尽管浪，谁接盘谁是狗，不得house	尽管浪，谁接盘谁是狗，不得好下场	理中客就是女拳和舔狗扮的	理中客就是极端女权主义者和单方面付出的讨好他人的人扮的	toxicity	zh
