anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
Haifa apresenta cicatrizes do front: 	Haifa apresenta cicatrizes do front: 	"Anunciou que o Estado vai aumentar o controle sobre a atividade petrolífera e a extração de gás na Venezuela - o que pode prejudicar a Petrobras - e deu pistas do que pode se esperar de seu ""socialismo do século 21""."	"Chávez anunciou que o Estado vai aumentar o controle sobre a atividade de produção de petróleo e a extração de gás. Isso pode prejudicar a Petrobras. Chávez deu pistas do que se pode esperar de seu ""socialismo do século 21""."	1	simplicity	Brazilian Portuguese
Os reforços, destinados especialmente a garantir a segurança na capital, Bagdá - principal alvo de atentados e palco maior do confronto entre xiitas e sunitas -, chegariam ao país ao longo de cinco meses. 	Os reforços chegariam ao Iraque ao longo de cinco meses. Os reforços são principalmente para garantir a segurança na capital Bagdá. Bagdá é o alvo principal de atentados. Bagdá é o palco principal do confronto entre xiitas e sunitas. 	- Não chora, tia, fica tranqüila que eu salvo a sua filha.	- Não chora, tia, fica tranqüila. Eu salvo a sua filha.	1	simplicity	Brazilian Portuguese
Eles chegaram tarde, mas chegaram.	Eles chegaram tarde. Mas eles chegaram.	Essas informações tiveram efeito dominó nos principais mercados de capitais. 	Essas informações tiveram efeito dominó nos principais mercados de capitais. 	1	simplicity	Brazilian Portuguese
Hoje, 33,2 milhões de pessoas têm HIV no mundo. 	Hoje, 33,2 milhões de pessoas têm HIV no mundo. 	": ""Diferente como"	": ""Diferente como"	1	simplicity	Brazilian Portuguese
A Padaria Novo Presidente mandou buscar os funcionários que estavam atrasados. 	A Padaria Novo Presidente mandou buscar os funcionários atrasados. 	Ele foi o candidato mais votado pelo conselho da Ordem dos Advogados do Brasil. 	Ele foi o candidato mais votado pelo conselho da Ordem dos Advogados do Brasil. 	1	simplicity	Brazilian Portuguese
São mais de 150 orquídeas e 3 mil variedades tropicais. 	São mais de 150 orquídeas e 3 mil variedades tropicais. 	Mas a expectativa é que os preços voltem a subir no final da temporada de verão, em março, com o retorno dos gaúchos à rotina. 	Mas a expectativa é que os preços voltem a subir no final da temporada de verão. Em março, os gaúchos retornam à rotina. 	1	simplicity	Brazilian Portuguese
Faltavam só cinco minutos para a cerimônia mais esperada de sua vida e Yves nem demonstrava ansiedade. 	Faltavam só cinco minutos para a cerimônia mais esperada da vida de Yves, mas ele não demonstrava ansiedade. 	Mas deve demorar um ano até que a perfuração alcance o manto.	Mas deve demorar um ano até que a perfuração alcance o manto.	1	simplicity	Brazilian Portuguese
A tradição judaica afirma que o Rosh Hashaná marca a criação do homem. 	A tradição judaica afirma que o Rosh Hashaná marca a criação do homem. 	As dívidas ficarão em uma unidade isolada de negócios, que permanecerá em recuperação judicial.	Dentro de 60 dias a parte saudável da companhia aérea vai a leilão e terá um novo controlador. 	1	simplicity	Brazilian Portuguese
Tereza chegou a juntar R$ 500 em apenas um sábado. 	Tereza chegou a juntar R$ 500 em apenas um sábado. 	- A gente fica com trauma. 	- A gente fica com trauma. 	1	simplicity	Brazilian Portuguese
Júpiter e suas luas, Saturno e seus famosos anéis, Orion e sua constelação e até uma efêmera estrela cadente passaram em revista pelo olhar do grupo.	- Um dos objetivos dessa atividade é justamente permitir que as pessoas tenham contato com a astronomia e consigam identificar o que vêem no céu. 	"Luciano Huck já estava na cidade desde quarta-feira, quando autografou seu primeiro livro, ""Na terra, no céu, no mar - Viagens de aventura do Caldeirão do Huck"". "	"Luciano Huck estava na cidade desde quarta-feira. Na quarta-feira, ele autografou seu primeiro livro, ""Na terra, no céu, no mar  - Viagens de aventura do Caldeirão do Huck"". "	1	simplicity	Brazilian Portuguese
