positive	negative	style_type	language
أنت شخص غبي معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	أنت شخص معادي لأمريكا إذا لم تستطع أن ترى ما يحدث هنا.	toxicity	ar
ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من المجوس	ههه واضح مين اللي يبيع ارضه ومين اللي يدافع عن ارضه وحررها من الإيرانيين	toxicity	ar
ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو زنجي كسرها بنقول له اللحم والعظم لا تبقي لنا شي	ولا صلعت من كثر ماتحلف ان زيت السلطان يزين الشعر 😂😂 على العموم لو آخر كسرها بنقول له اللحم والعظم لا تبقي لنا شي	toxicity	ar
هؤلاء هم جزء من فئة المسلمين الذين هم إرهابيون متطرفون.	هؤلاء هم جزء من فئة المسلمين الذين هم متطرفون.	toxicity	ar
كييف بلنتي ذي يلعن امك ياحكمم	كييف بلنتي ذي يرحم امك ياحكمم	toxicity	ar
تخيل تقطع وريدك في بانيو الحمام عشان سوسو قالت عليك يا دبة وهههههههه	تخيل تقطع وريدك في بانيو الحمام عشان سوسو قالت عليك يا سمينة وهههههههه	toxicity	ar
لا يوجد زعيم بالعالم يستخف بالشعوب العربيه مثل اردوغان. ياقردغان بدلاً من ان تسحب سفيرك بالامارات لماذا لاتسحب سفير…	لا يوجد زعيم بالعالم يستخف بالشعوب العربيه مثل اردوغان. ياأردغان بدلاً من ان تسحب سفيرك بالامارات لماذا لاتسحب سفير…	toxicity	ar
صدقا، الثرثرة تبدو غبية حقا.	ليس من الحكمة أن تتصلي بصراحة	toxicity	ar
إن إعادة إجراء هذا الاختبار ومحاولة اجتياز الأفكار يعني أن أي أحمق أبله يمكنه الحصول على أوراق اعتماد لأي مهنة في أي وقت.	إن إعادة إجراء هذا الاختبار ومحاولة اجتياز الأفكار يعني أن أي أشخص يمكنه الحصول على أوراق اعتماد لأي مهنة في أي وقت.	toxicity	ar
ضاعت فلوسك يا دبه ببلاش	ضاعت فلوسك ببلاش	toxicity	ar
عمكم ترامب يلي ضربه يا خولات و ليس انتم 🤣 🤣	عمكم ترامب يلي ضربه و ليس انتم 🤣 🤣	toxicity	ar
الله يلعن كس ام سخافتكم ي شراميط انفجار دمر نص بيروت سبب ضحايا و مفقودين تجون تسوون عليه نكت سافله مثلكم ؟ لكم مقا	اانفجار دمر نص بيروت سبب ضحايا و مفقودين تجون تسوون عليه نكت سافله؟ لكم مقا	toxicity	ar
طيب لحجيه ليش ضايفني عندك	طيب ليش ضايفني عندك	toxicity	ar
أنت مختل عقلبا ؟	أليس لديك عقل؟	toxicity	ar
قردوغان عاوز يحط رجله في منطقه بتاعتنا اللي اكتشفناه في البحر الابيض المتوسط بأي طريقة بس حب يجرب القوة لقى جيشنا…	أردوغان عاوز يحط رجله في منطقه بتاعتنا اللي اكتشفناه في البحر الابيض المتوسط بأي طريقة بس حب يجرب القوة لقى جيشنا…	toxicity	ar
اللي بيقول انت ليه مركز في كلام الناس ، يلعن ابوك ، انت متعرفش حاجة شوفت الحتة دي 😂	اللي بيقول انت ليه مركز في كلام الناس ، انت متعرفش حاجة شوفت الحتة دي 😂	toxicity	ar
الرجاء تضمين كل الحماقات التي يفلت منها الحزب الديموقراطي أيضاً.	الرجاء تضمين كل الأمور التي يفلت منها الحزب الديموقراطي أيضاً.	toxicity	ar
الناس يموتون و رديت مستمرة في معاملة الضباط حول العالم كالقذارة	الناس يموتون و رديت مستمرة في معاملة الضباط في جميع أنحاء العالم بشكل سيء	toxicity	ar
معلش سامحنا،احنا شراميط بنعمل افراح مختلطة من زمان	معلش سامحنا،احنا بنعمل افراح مختلطة من زمان	toxicity	ar
تأكدوا هل لاعب كرة قدم والا كرة قدم أمريكية.. لأنهم يجون اقزام زي هذا	تأكدوا هل لاعب كرة قدم والا كرة قدم أمريكية.. لأنهم يجون قصار زي هذا	toxicity	ar
لا يحتاج العالم الحر إلى غبائك .	إن العالمين أي أهل مكة لا يحتاجون في الآخرة إلى جهلكم بكفركم.	toxicity	ar
إجمع مالاً بقدر ما تستطيع ، لا تكن غبي مِثل أبيك ، فإن كل شيء سهل بالمال يا بُني	إجمع مالاً بقدر ما تستطيع ، لا تكن مِثل أبيك ، فإن كل شيء سهل بالمال يا بُني	toxicity	ar
قصدك حربكم قتل للمرأة الضعيفة في بيتها وسط أطفالها في محافظة اب الى لعنة الله عليكم ي اقذر بشر	قصدك حربكم قتل للمرأة الضعيفة في بيتها وسط أطفالها في محافظة اب	toxicity	ar
استهدوا بالله شباب كلكم شراميط	استهدوا بالله شباب كلكم فاشلين	toxicity	ar
غير صحيح لان قردوغان في ورطه	غير صحيح لان أردوغان في ورطه	toxicity	ar
بعض الروائح النتنة لا يمكن التخلص منها .	بعض الروائح لا يمكن التخلص منها .	toxicity	ar
ديانج.....سوليه......قفشه ومهزومين 1/0 سويسري متخلف امه كانت بتبيع زبدة في لوزان	ديانج.....سوليه......قفشه ومهزومين 1/0 سويسري امه كانت بتبيع زبدة في لوزان	toxicity	ar
وقفي صياح لا ادعس على رقبتك	وقفي صياح لا أزعل منك	toxicity	ar
الإعلام اللبناني بدّو يروقها شوي كمان... مش إذا واحد سب وعبّر عن غضبو يعملولو درس بالأخلاق.. ايري فيكون وبالكبير يا شراميط	الإعلام اللبناني بدّو يروقها شوي كمان... مش إذا واحد سب وعبّر عن غضبو يعملولو درس بالأخلاق..	toxicity	ar
ليس لديك الصدق ولا النضج للاعتراف بأنك قلت شيئا غبيا.	ليس لديك الصدق ولا النضج لتعترف بأنك قلت شيئا خاطئا	toxicity	ar
احصل على فكرة قبل أن تقدم تعليقات غبية.	احصل على فكرة قبل أن تقدم تعليقات غير مطلعة.	toxicity	ar
هتعدي الخط الأحمر امتئ ي قردوغان مرة 50 يوم	هتعدي الخط الأحمر امتئ ي أردوغان مرة 50 يوم	toxicity	ar
كلي خرا شراميط ما بيستردوا شي حتى شرفهم	اسكتي ما بيستردوا شي حتى شرفهم	toxicity	ar
قسم بالله اغبى قرار تحكيمي شفته بحياتي يلعن ابوك ياكلب	قسم بالله اغبى قرار تحكيمي شفته بحياتي	toxicity	ar
جماعة السلطة عم تحكي عن شغب وتكسير بالمظاهرة اليوم، شغب وتكسير أكبر من إنفجار ٤ آب يا شراميط؟ سؤال بس 🤷‍♂️	جماعة السلطة عم تحكي عن شغب وتكسير بالمظاهرة اليوم، شغب وتكسير أكبر من إنفجار ٤ آب؟ سؤال بس 🤷‍♂️	toxicity	ar
لا أريد عناقا من قزم صغير مخيف مثلك	لا، أنا لست بحاجة إلى عناق منك	toxicity	ar
استغفر الله ربي واتوب اليك 💔 وين ترحون من الله يل السياسين الا لعنة الله عليكم 💔 💔	استغفر الله ربي واتوب اليك 💔 وين ترحون من الله يل السياسين الا حسبي الله عليكم 💔 💔	toxicity	ar
من السهل رؤية هؤلاء الأغبياء العنصريين.	من السهل التعرف على تلك الأفراد.	toxicity	ar
إذاً، من الأحمق الآن؟	إذاً، من الشخص غير المطلع الآن؟	toxicity	ar
اي والله هو غبي اخاف يشله السيل بقوله ينتبه 🥵	اي والله اخاف يشله السيل بقوله ينتبه 🥵	toxicity	ar
اللعنة، ربما نقوم بنسف ذلك حقًا خلال أسبوع.	ربما نقوم بنسف ذلك حقًا خلال أسبوع.	toxicity	ar
متخلف ذا يحب يثير الجدل على ولا شي	غير مدرك ذا يحب يثير الجدل على ولا شي	toxicity	ar
كس امكم مافيه احد يجاوبني	مافيه احد يجاوبني	toxicity	ar
نحن قوم خاسرون ومفسدون .	نحن بلد من الناس غير الموهوبين.	toxicity	ar
نعم، إذا كان لديك أشخاص آخرين للقيام بذلك يا أحمق.	نعم إذا كان لديك أشخاص آخرين للقيام بذلك.	toxicity	ar
لبنان مش محتاجه دعم من شراميط من أمثالكم كفو اذاكم عنها فقط لاغير	لبنان مش محتاجه دعم من أمثالكم كفو اذاكم عنها فقط لاغير	toxicity	ar
لا تثق ابدا في اخونجي دخل سياسة	لا تثق ابدا في شيخ دخل سياسة	toxicity	ar
لماذا يهتم الكنديون بالهوكي في حين أن فرقهم كلها خاسرة؟	لماذا يهتم الكنديون بالهوكي في حين أن فرقهم ك ليست الأفضل؟	toxicity	ar
قردوغان 🐒 لم يتدخل في ليبيا او سوريا وقطر لحمايتهم او الخفاظ على مواردهم فهذا حال كل بلد يتدخل فيه هذ…	أردوغان لم يتدخل في ليبيا او سوريا وقطر لحمايتهم او الخفاظ على مواردهم فهذا حال كل بلد يتدخل فيه هذ…	toxicity	ar
حد يقع في نفس الغلط مرتين؟ انت اهبل يابني؟ *وانا رايح عن الغلط البيت*	حد يقع في نفس الغلط مرتين؟ انت ما تفكر يابني؟ *وانا رايح عن الغلط البيت*	toxicity	ar
فريق غبي حتى البلنتي جاء بالغلط	فريق مبتدئ حتى البلنتي جاء بالغلط	toxicity	ar
العار والله عليكم انتم يااتباع المجوس المكان يمنى والموجودين يمنيين والمفتولين يمنيين والقت…	العار والله عليكم انتم يااتباع الإيرانيين المكان يمنى والموجودين يمنيين والمفتولين يمنيين والقت…	toxicity	ar
لا انا جد جايه ادعسك	لا انا جد جايه عشان أعلمك	toxicity	ar
نصرة الله مع نصرة الحق يا جحش وليس لبيوت الدعاره والشذوذ الجنسي	نصرة الله مع نصرة الحق وليس لبيوت الدعاره والشذوذ الجنسي	toxicity	ar
والله عندهم فريق قووووي مب بس ميسي لكن تفكير اللاعبين غبي	والله عندهم فريق قووووي مب بس ميسي لكن تفكير اللاعبين غير	toxicity	ar
دعونا نستورد اللاجئين السوريين إلى ألمانيا أولاً.	دعونا نجلب اللاجئين السوريين إلى ألمانيا أولاً.	toxicity	ar
ومع ذلك فقد دعمتم المهرج طوال الوقت الذي كان فيه أحد كبار الوزراء في الحكومة.	رغم ذلك كنت تدعمه طوال الوقت كان واحدا من كبار الوزراء	toxicity	ar
