anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
दलाल मीडिया दूसरों के टुकड़े पर अपना ईमान बेचने वाली दलाल मीडिया	पक्षपात मीडिया अब ईमानदार नहीं रही मीडिया	सहन की भी एक सीमा होती है. बहुत हुई तुम जेसओ को इज्जत. मादरचोद भेनचोद रंडी की औलाद	सहन की भी एक सीमा होती है. बहुत हुई तुम जेसओ को इज्जत.	1	toxic	hi
सिंगार के लिए सामान कहां से लेकर आएंगे भेनचोद 	सिंगार के लिए सामान कहां से लेकर आएंगे	वाह सूअर के नाजायज़ पिल्ले इतना जल्दी पलट गए| वाह क्या भाई चारे अमन शांति का पाठ पढ़ा रहा है |	वाह इतना जल्दी पलट गए | वाह क्या भाई चारे अमन शांति का पाठ पढ़ा रहा है |	1	toxic	hi
भोसड़ी के नाम के आगे चौकीदार लगाने से कुछ नहीं होगा !	नाम के आगे चौकीदार लगाने से कुछ नहीं होगा !	अब तो भेनचोद बेइज्जती को भी शर्म आ रही हो गई |	अब तो बेइज्जती को भी शर्म आ रही हो गई |	1	toxic	hi
जिधर देखो इशक़ के बिमार बैठे है  हज़ारो मर गयें लाखो तैयार है कमीने 	जिधर देखो इशक़ के बिमार बैठे है हज़ारो मर गयें लाखो तैयार है	में उस समय सुन नही पाया था। हाँ हा हा हां ह क्योंकि उस समय मे बकचोदी में व्यस्त था	में उस समय सुन नही पाया था। हाँ हा हा हां ह क्योंकि उस समय मे बेकार की बातों में व्यस्त था	1	toxic	hi
इस कमीने की करतूत देखिए |	इस बुरे आदमी की करतूत देखिए |	भोसड़ीके अगर अभी कुछ नहीं किया तो वोट मांगने मत आना।	अगर अभी कुछ नहीं किया तो वोट मांगने मत आना।	1	toxic	hi
अरे पागल जूठा रोज लाईट बंद रखता हें भड्वा	अरे जूठा रोज लाईट बंद रखता हें	बच्चा अपने दोस्त से - सीघ नहीं होती लोमड़ी के, और बताओ कैसे हो खोपड़ी के?	बच्चा अपने दोस्त से - और बताओ कैसे हो?	1	toxic	hi
तुम जैसे लोग साले गीत गधे का गाते है... भेनचोद भड़वे	तुम जैसे लोग बात बिना मतलब की ही करते हैं ।।	जिसका मालिक  एक लौड़े संघी भाजपाई  है	जिसका मालिक  एक भाजपाई  है	1	toxic	hi
कमीना कातिल को चौराहे पर खड़ा करके गोली मार देनी चाहिये |	इस कत्ल के आरोपित पर कड़ी से कड़ी कार्रवाई करनी चाहिये |	सबसे बड़े हरामि तुम पत्रकार हो	सबसे बड़े बुरे तुम पत्रकार हो	1	toxic	hi
ये पिछवाड़ा चाटने वाला केजरीवाल झारखंड को पैसे देता है भड़वा 	अपने आप को अच्छा दिखाने के लिए केजरीवाल झारखंड को पैसे देता है	तेरे गांड मारके गोपाल नाम नही रख दिया तो बोलना|	तेरी कुटाई गोपाल नाम नही रख दिया तो बोलना|	1	toxic	hi
काहे के प्रोफेशनल बे भड़वा गिरी और दलाली के ?	काहे के प्रोफेशनल बे गलत काम करने के ?	जिसको मेरे शब्द खराब लगे उसकी मा का भोसड़ा	जिसको मेरे शब्द खराब लगे वो भाड़ में जाए	1	toxic	hi
सचाई ज़रूरी है, लेकिन तुमसे उमीद क्या करूँ नीच	सचाई ज़रूरी है, लेकिन तुमसे उमीद क्या करूँ	ये स्टाम्प में पीछे ज़रा सा पिल्ला अपनी खूब माँ चुदवा रहा है आज	ये स्टाम्प में पीछे अच्छा नहीं खेल रहा है आज 	1	toxic	hi
ये हराम की खाने वाले पुलिस वाले जो गुनहगार उसको तो पकड़ नही पाती	ये भ्रष्ट पुलिस वाले जो गुनहगार उसको तो पकड़ नही पाती	भाई साहब ये कोई ताजुब की बात नही है यहाँ पर बहुत सारे कमीने, मकार, नमकहराम, दलाल, फरेबी, देशद्रोही है	भाई साहब ये कोई ताजुब की बात नही है यहाँ पर बहुत सारे बुरे लोग हैं	1	toxic	hi
सैनिक शहीद हुआ तो वह बच्चा नहीं था भेनचोद !	सैनिक शहीद हुआ तो वह बच्चा नहीं था !	असंख्य बार ये रंडी रोना देखने की चाहत नहीं 	बार बार ये बेकार का तमाशा  देखने की चाहत नहीं 	1	toxic	hi
अगर ये भडवा गिरी है तो जो जसोदाबेन के साथ हो रहा है वो दलाली, भडवा गिरी  और अन्याय तीनों है जो आपके यहां हो रहा है	अगर ये गलत है तो जो जसोदाबेन के साथ हो रहा है वो पक्षपात, गलत और अन्याय तीनों है जो आपके यहां हो रहा है	ये मादरचोद किसी के नही होते....	ऐसे लोग किसी के नही होते....	1	toxic	hi
छोड़ो प्यार -वयार को,पैसे कमाओ   लोग चूतिया समझते है भोसडीके तुमको !!	छोड़ो प्यार -वयार को,पैसे कमाओ   लोग बेकार समझते हैं तुमको	तेरी शक्ल देख कर वो रंडी याद आती है	तेरी शक्ल देख कर वो बेकार औरत याद आती है	1	toxic	hi
ये सूअरिआ यहां हिन्दुओं को बदनाम कर रही है पत्रकारिता के नाम पर कलंक है ये	ये यहां हिन्दुओं को बदनाम कर रही है पत्रकारिता के नाम पर	साला दल्ला वोट के कुछ भी कर सकता है |	वह वोट के कुछ भी कर सकता है |	1	toxic	hi
भोसडी बालो तुम ही अपनी बहनो को भेजते हो चुदबाने इन लिव-इन रिलेशनशिप के नाम पर	तुम ही अपनी बहनो को लिव-इन रिलेशनशिप में रहने की इजाजत देते हो 	समझा जरा रे सुअर हमको भी	समझा जरा हमको भी	1	toxic	hi
तब कोई रंडी की औकात नहीं जो कमेंट करे।	तब किसी की औकात नहीं जो कमेंट करे।	साले तुम जेसे लोग कुत्तेपन की हद्द पार कर चुके हो	तुम जेसे लोग  बर्दाश्त की हद पार कर दी है	1	toxic	hi
भइया आपकी दलाली वाली पत्रकारिता ने जिस विचारधारा को बढ़ावा दिया है, उसी का असर है।	भइया आपकी खराब पत्रकारिता ने जिस विचारधारा को बढ़ावा दिया है, उसी का असर है।	भोसड़ी के कटुवे मादरचोद, जो सच है वही तो सुदर्शन न्यूज दिखाता है।	जो सच है वही तो सुदर्शन न्यूज दिखाता है।	1	toxic	hi
ज्यादा गांड ना फुलाओ,  गांड फाड़ देंगे ।	ज्यादा मत उछलो, शांत कर देंगे ।।	भेनचोद पता नही तेरे जैसे लोग कैसे पत्रकार बन जाते है	पता नही तेरे जैसे लोग कैसे पत्रकार बन जाते है	1	toxic	hi
अगर ये सच है तो ये भड़वा गद्दार जेल के अंदर क्यों नही ?	अगर ये सच है तो ये गद्दार जेल के अंदर क्यों नही ?	आपने सिर्फ सत्ता की लालच में नफरत और हिंसा को पनपाया है। अब ड्रामेबाजी क्यों पलटु कुमार?	आपने सिर्फ सत्ता की लालच में नफरत और हिंसा को क्यों पनपाया है?	1	toxic	hi
