anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
"This group's hits included the ballad ""San Franciscan Nights"", the grunge–heavy metal-pioneering ""When I Was Young"", ""Monterey"", the anti-Vietnam anthem ""Sky Pilot"", ""White Houses"" and the progressive cover of ""Ring of Fire""."	"He continued to have chart success with songs like ""San Franciscan Nights"", ""When I Was Young"", ""Good Times"", ""Sky Pilot"", ""Monterey"" and ""Ring of Fire""."	There is no limit on the number of clues for each word.	Clues have to be one word.	simplicity	en
"This group's hits included the ballad ""San Franciscan Nights"", the grunge–heavy metal-pioneering ""When I Was Young"", ""Monterey"", the anti-Vietnam anthem ""Sky Pilot"", ""White Houses"" and the progressive cover of ""Ring of Fire""."	"He continued to have chart success with songs like ""San Franciscan Nights"", ""When I Was Young"", ""Good Times"", ""Sky Pilot"", ""Monterey"" and ""Ring of Fire""."	The third transit was detected on 15 December 2010.	Kepler-22b's third transit was detected in late 2010.	simplicity	en
"This group's hits included the ballad ""San Franciscan Nights"", the grunge–heavy metal-pioneering ""When I Was Young"", ""Monterey"", the anti-Vietnam anthem ""Sky Pilot"", ""White Houses"" and the progressive cover of ""Ring of Fire""."	"He continued to have chart success with songs like ""San Franciscan Nights"", ""When I Was Young"", ""Good Times"", ""Sky Pilot"", ""Monterey"" and ""Ring of Fire""."	History The Mail on Sunday was first launched on 2 May 1982, to complement the Daily Mail.	The Mail on Sunday first started 2 May 1982.  It went with the Daily Mail.	simplicity	en
"This group's hits included the ballad ""San Franciscan Nights"", the grunge–heavy metal-pioneering ""When I Was Young"", ""Monterey"", the anti-Vietnam anthem ""Sky Pilot"", ""White Houses"" and the progressive cover of ""Ring of Fire""."	"He continued to have chart success with songs like ""San Franciscan Nights"", ""When I Was Young"", ""Good Times"", ""Sky Pilot"", ""Monterey"" and ""Ring of Fire""."	The Public library of Moratuwa Municipal Council “Janasetha Kala Ketha” at Galle Road, Katubedda, Moratuwa, Sri Lanka was opened in 1987.	There is also a public library on Galle Road, which was opened in 1987.	simplicity	en
"This group's hits included the ballad ""San Franciscan Nights"", the grunge–heavy metal-pioneering ""When I Was Young"", ""Monterey"", the anti-Vietnam anthem ""Sky Pilot"", ""White Houses"" and the progressive cover of ""Ring of Fire""."	"He continued to have chart success with songs like ""San Franciscan Nights"", ""When I Was Young"", ""Good Times"", ""Sky Pilot"", ""Monterey"" and ""Ring of Fire""."	Hephaestus' symbols are a smith's hammer, anvil, and a pair of tongs.	His symbols were a smith's hammer, an anvil, and a pair of tongs.	simplicity	en
"This group's hits included the ballad ""San Franciscan Nights"", the grunge–heavy metal-pioneering ""When I Was Young"", ""Monterey"", the anti-Vietnam anthem ""Sky Pilot"", ""White Houses"" and the progressive cover of ""Ring of Fire""."	"He continued to have chart success with songs like ""San Franciscan Nights"", ""When I Was Young"", ""Good Times"", ""Sky Pilot"", ""Monterey"" and ""Ring of Fire""."	The magazine is inserted front end first in a similar manner to the AK family.	The magazine is put into the gun in a similar way to the AK group.	simplicity	en
"This group's hits included the ballad ""San Franciscan Nights"", the grunge–heavy metal-pioneering ""When I Was Young"", ""Monterey"", the anti-Vietnam anthem ""Sky Pilot"", ""White Houses"" and the progressive cover of ""Ring of Fire""."	"He continued to have chart success with songs like ""San Franciscan Nights"", ""When I Was Young"", ""Good Times"", ""Sky Pilot"", ""Monterey"" and ""Ring of Fire""."	Descendants of Susannah Martin’s, Ethel Mae Hilton and grandchildren Douglas and Madrey Margaret Hilton were the only members of their family interested in the history of their accused witch ancestor.	Descendants of Susannah Martin’s, Ethel Mae Hilton and grandchildren Douglas and Madrey Margaret Hilton were the only members of their family interested in the history of their accused witch ancestor.	simplicity	en
"This group's hits included the ballad ""San Franciscan Nights"", the grunge–heavy metal-pioneering ""When I Was Young"", ""Monterey"", the anti-Vietnam anthem ""Sky Pilot"", ""White Houses"" and the progressive cover of ""Ring of Fire""."	"He continued to have chart success with songs like ""San Franciscan Nights"", ""When I Was Young"", ""Good Times"", ""Sky Pilot"", ""Monterey"" and ""Ring of Fire""."	Neither blue nor green pigments are ever present in the human iris or ocular fluid.	Neither blue nor green pigments are ever present in the human iris or fluid.	simplicity	en
"This group's hits included the ballad ""San Franciscan Nights"", the grunge–heavy metal-pioneering ""When I Was Young"", ""Monterey"", the anti-Vietnam anthem ""Sky Pilot"", ""White Houses"" and the progressive cover of ""Ring of Fire""."	"He continued to have chart success with songs like ""San Franciscan Nights"", ""When I Was Young"", ""Good Times"", ""Sky Pilot"", ""Monterey"" and ""Ring of Fire""."	However, when a character scorns a god, it is usually a character of low standing, such as a pimp.	Usually the only characters that scorn a god are those of low standing, like a pimp.	simplicity	en
"This group's hits included the ballad ""San Franciscan Nights"", the grunge–heavy metal-pioneering ""When I Was Young"", ""Monterey"", the anti-Vietnam anthem ""Sky Pilot"", ""White Houses"" and the progressive cover of ""Ring of Fire""."	"He continued to have chart success with songs like ""San Franciscan Nights"", ""When I Was Young"", ""Good Times"", ""Sky Pilot"", ""Monterey"" and ""Ring of Fire""."	See, the mountains kiss high heaven, And the waves clasp one another; No sister flower could be forgiven If it disdained its brother; And the sunlight clasps the earth, And the moonbeams kiss the sea; - What are all these kissings worth, or What is all this sweet work worth If thou kiss not me?	See the mountains kiss high Heaven And the waves clasp one another; No sister-flower would be forgiven If it disdained its brother; And the sunlight clasps the earth And the moonbeams kiss the sea: What is all this sweet work worth If thou kiss not me?	simplicity	en
