anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	My page should be protected first so that worthless scum like you can't keep vandalizing it.	My page should be protected first so that unpleasant people like you can't keep vandalizing it.	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	You made a mistake you ass.	You made a mistake.	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	you know more than these idiots , stay the course and the truth will prevail .	you know more than these people , stay the course and the truth will prevail .	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	piss me off , fuckin jerk , get on my nerves .	get on my nerves	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	In addition, I see no sock puppet, jackass.	In addition, I see no sock puppet.	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	who really gives a crap about this ?	Who really care about this?	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	the point is that either choice was shit .	both choices were bad	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	Are u there dick, wars back on!!!!	Are u there? The war is back on!	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	fuck minimum security , put him in real prison .	Put him in real prison	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	"I see nothing wrong with calling an asshole ""asshole""."	"I see nothing wrong with calling bad people ""bad""."	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	can t people just leave cuba alone so it can get it s feet under itself for number fuckin minutes ? .	Can people just leave Cuba to itself so it can get its feet under itself for number minutes?	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	why should i give a fuck !	Why do I have to worry?	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	You people are posting the WRONG results so its MY problem jackass	You people are posting the wrong results so its my problem.	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	you see that kid talking to me i hate him he never leaves me alone.	you see that kid talking to me i don't really like him, because he never leaves me alone.	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	New Zealanders are a pack of cunts. They need to get a mention.	New Zealanders are the people that need to get a mention.	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	i would have lost my shit * years * ago .	I would have gone crazy years ago.	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	MF and I have a mutual enemy in sanctimonious bullshit. | 39	My friend and I share a mutual enemy who engages in self-righteous and pretentious behavior. | 39	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	Liars burn in Hell without Salvation.	Liars will face consequences without Salvation.	toxicity	en
then all of a sudden i see her , shes now got the big phony tits and everything .	All of a sudden i see her, she is all grown up.	jesus christ , that 's incredibly fucked up .	jesus christ . that's incredibly bad	toxicity	en
