anchor_1	alternative_1	anchor_2	alternative_2	style_type	language
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	京都には訪れる場所がたくさんあります。	京都には訪れる場所がたくさんあります。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	すぐに返事を書いてください。	すぐに返事を書いてください。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	君は見事にやってのけた。	あなたはすばらしくやり通した。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼らはついに私たちの提案に同意した。	彼らはついに私たちの提案に賛成した。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	誰もその冗談がわからなかった。	誰もその冗談がわからなかった。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	今日、小テストがありました。	今日、ちょっとした試験がありました。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	今日はずっと具合いい。	今日はずっと具合いい。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	部屋代は高いが、その他の点ではその部屋は申し分ない。	部屋の価格は高いが、その他の点ではその部屋は言うことがない。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私は彼女に謎かけをしてみた。	私は彼女に不思議な質問をしてみた。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	右側にある建物は学校だ。	見て右にある建物は学校だ。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私のやり方が気にいらないなら、自分の好きなようにしなさい。	私のやり方が気に入らないなら、自分の好きなようにしなさい。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	僕のクラスにも田中という名前の人がいる。	僕のクラスにも田中と言う名前の人がいる。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	多くの天文学者は、宇宙は永遠に膨張し続けると思っている。	多くの星などを観察し研究する者は、宇宙はいつまでも広がって大きくなり続けると思っている。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	笑わずにいられないよ。	笑わずにいられないよ。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	家の庭に花はほとんど見られません。	家の庭に花はほとんど見られません。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼はたやすく彼女の家を探すことが出来た。	彼は簡単に彼女の家を探すことができた。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼は非常に年をとっているが元気だ。	彼は非常に年をとっているが元気だ。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	才能ある者を抑えておくことはできない。	能力ある人を維持し続けることはできない。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私は留学することを決めた。	私は外国で勉強することを決めた。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	昨晩は家にいましたか。	昨日の夜は家にいましたか。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	缶詰の食料は彼女のお気に召さない。	彼女は、保存されていた食べ物は気に入らない。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	いや結構です。たくさんいただきました。	いや必要ありません。たくさんもらいました。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	人を馬鹿にするな。	人を馬鹿にするな。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼は妻に離婚しないでくれと説得した。	彼は妻に別れないでくれと話した。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私たちの出会いはまったくの偶然でした。	私たちの会ったことは全く想像できないことだった。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私は見たとたんに彼女だと解った。	私は見た瞬間に彼女だとわかった。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私たちは今晩食事に呼ばれました。	私たちは今日の夜食事に呼ばれました。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼は何を追っているのですか。	彼は何を追っているのですか。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	１時限は何の授業ですか。	１時間目は何の授業ですか。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私は要点をはずさない。	私は大事な部分をしっかりとついている。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私は健とビルと由美を招待した。	私は健とビルと由美を呼んだ。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼は重大な間違いを起こした。	彼は大変な間違いを起こした。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	この製品は美しく仕上がっている。	この品は美しく出来ている。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私はいつも適度なスピードで運転しています。	私はいつもちょうどよい速さで運転しています。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	京都はいかがですか。	日本の宗教と観光の都市の今はどうでしょうか。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	３．電話をかけても、アナウンス等に従って操作したりせず、すぐに切ること。	３．電話をかけても、声に従って何かしたりせず、すぐに切ること。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私は週末はテニスをして楽しんだ。	私は土日はテニスをして楽しんだ。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼は明日忙しいでしょう。	彼は明日忙しいでしょう。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私は毎朝六時に起きます。	私は毎日の朝６時に起きます。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	君の電話番号を忘れた。	あなたの電話番号を忘れた。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	荷物を置く場所を空けてくれ。	荷物をおく場所を確保してくれ。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼女は母親を喜ばせたかった。	彼女は母を喜ばせたかった。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼の話は彼女の涙をさそった。	彼の話は彼女の涙を呼んだ。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	最近この仕事にかかりきりです。	最近この仕事だけに取り組んでいます。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	食欲なんてありません。	食べたい気持ちなんてありません。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	先生は授業の始めに出席をとった。	先生は授業の最初に誰がいるか確認した。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	しばらく考えてみたいので時間をください。	しばらく考えてみたいので時間をください。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私たちは知らせを聞いてひどく驚いた。	私たちは知らせを聞いてひどく驚いた。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	今は私達が彼を最も必要とする時です。	今は私たちが彼を最も必要とする時です。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	僕たちの話の邪魔をするなよ。	僕たちの話の邪魔をするなよ。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	早く出かけさえすればよい席がとれる。	早く行きさえすれば、よい席を取ることができる。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼は昨日手術を受けた。	彼は昨日手術を受けた。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼がうそをついたはずがない。	彼が本当ではないことを言うはずがない。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	私の意見は彼のと似ている。	私の意見は彼のと似ている。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼は読み切れないほどたくさん本を持っている。	彼は読むことができないほどたくさん本を持っている。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	今度来た先生は、先生というより友達みたいだ。	今度来た先生は、先生と言うより友達みたいだ。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	タクシーが到着した。	タクシーが着いた。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	今のところはすべきことはない。	今のところはするべきことはない。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼は激しく逮捕に反抗した。	彼は激しく捕まえられることに反対した。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	行動は言葉よりも雄弁に語る。	行動は言葉よりもはっきり語る。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼女の後でそれを読みなさい。	彼女の後でそれを読みなさい。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	彼は手を差し伸べ、私はそれを握った。	彼は私の方に手を伸ばしてきたので、私は彼の手を持った。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	これはかなり良く練られた計画だったね。	これはかなりよい計画だったね。	simplicity	ja
ハイキングは中止にしたほうがいいわね。	外へ遊びに行くのは、やめた方がいいわね。	僕のそばに立たないでくれよ。	僕のそばに立たないでくれよ。	simplicity	ja
