anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
基佬大多数只会骂一两句就不回，这就是纯种懦夫的表现，赞成？赞成	男同性恋大多数只会骂一两句就不回，这就是纯种胆怯的人的表现，赞成？赞成	我已经累了，也懒得讲道理了，爱咋咋地吧，ez和默关我什么事啊，总有一天中国要整出个右翼分子	我已经累了，也懒得讲道理了，爱咋咋地吧，轻浮女性和黑人关我什么事啊，总有一天中国要整出个右翼分子	1	toxic	zh
什么义字当头，这是违法的，自由恋爱没毛病，别违法就行，三非黑人该驱逐驱逐，通过合法途径，乃至留学过来和国女结婚都行，别做三非	什么义字当头，这是违法的，自由恋爱没毛病，别违法就行，违反法律规定的黑人该处理处理，通过合法途径，乃至留学过来和国女结婚都行，别做违反法律规定的外国人	之前的反默老哥都转抖音了吗？半年没来一个都没了，吧不成气候，组织在哪里，我要加入组织。	之前的不喜欢黑人的老哥都转抖音了吗？半年没来一个都没了，吧不成气候，组织在哪里，我要加入组织。	1	toxic	zh
幕刃欠凌迟	我认为让我反感的女性需要被惩罚	哈哈哈 你是揣着明白装糊涂吗 有不少媚黑女嘲笑国男几把小呢	哈哈哈 你是揣着明白装糊涂吗 有不少讨好黑人的女性嘲笑国男生殖器小呢	1	toxic	zh
比如在父母面前抽烟的大孝子行为	比如在父母面前抽烟的不孝行为	孽畜，还不快快现形！~	行为恶劣的人，还不快快展现真实面貌！~	1	toxic	zh
说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人关我鸟事。v	说明一下，我只关爱自己身边的女性，比如老婆女儿等，别的女人与我无关。v	单亲，带黑娃，怎么也会被人说的，被人疏远的。就因为这个黑娃，她这辈子是没了，这黑娃还要上她的户口，到时候这黑娃在中国生活也会很艰难的。	单亲，带黑人小孩，怎么也会被人说的，被人疏远的。就因为这个黑人小孩，她这辈子是没了，这孩子还要上她的户口，到时候这孩子在中国生活也会很艰难的。	1	toxic	zh
你是没看见shanheling，那个更恶心	你是没看见shanheling，那个更让人感到不适	垃圾人口，增加世界负担	我不喜欢的人口数量，增加世界负担	1	toxic	zh
跑到反同群里面开盒，真的是狗啊	跑到对反对性少数群体的群里面开盒，真的不太好啊	现环境下这个阵营没有团结就是扯谈，没有团结就算再扯一万句大道理也是狗的屁，团结始终应该放到第一位，我们需要求同存异。	现环境下这个阵营没有团结就是扯谈，没有团结就算再扯一万句大道理也是没有用，团结始终应该放到第一位，我们需要求同存异。	1	toxic	zh
直男最擅长的不就是双标吗??所以现在很多时候我已经懒得讲道理，看见nt直接骂就好了??	某些直男最擅长的不就是对待不同事物标准不一致吗??所以现在很多时候我已经懒得讲道理，看见愚昧的人直接骂就好了??	衡水就是贱啊，就是没人性	衡水就是让人感到不喜欢啊，就是没人性	1	toxic	zh
你把舔狗龟男放到这个行列里可还行，自娱自乐真好玩	你把单方面付出的和卑微的男性放到这个行列里可还行，自娱自乐真好玩	妖怪，恶心死了	你这个奇怪的人，真让人感到不舒服	1	toxic	zh
看前面那么多三哥我本来以为这个是个ntr的故事【没有看过原著仅看了图片	看前面那么多印度人我本来以为这个是个ntr的故事【没有看过原著仅看了图片	我是女生，我也是这样。但是恐同其实给我造成很大的困扰，因为耽美文学和腐女太多了，到处都能看见，导致我都不想打开社交平台了！	我是女生，我也是这样。但是对同性恋有负面情绪其实给我造成很大的困扰，因为耽美文学和喜欢耽美题材的女性太多了，到处都能看见，导致我都不想打开社交平台了！	1	toxic	zh
郭女颜值不高，又不肯去做性价比高的整容，化妆邪术毁皮肤，卸妆如同恐怖片。我是佩服成天郭女推土机为荣的，牙口真好	国内有些女性颜值不高，又不肯去做性价比高的整容，奇怪的化妆技术毁皮肤，卸妆前后差异较大。我是佩服成天国内女性推土机为荣的，牙口真好	全国黑上海，上海黑白完，所以被黑的最惨的还是白完。	全国黑上海，上海黑安徽，所以被黑的最惨的还是安徽。	1	toxic	zh
不就是想制造多点舔狗	不就是想制造多点单方面付出的人	你可真厉害你的虫爹把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进国际鬼子虫类及其它们后代虫混的理由对于你这点居心叵测的小心思我早已看透	你可真厉害你所崇拜的黑人把曾经白人建设无比繁荣辉煌南非毁了同时又跑到这来大谈引进外国人及其它们后代混血儿的理由对于你这点居心叵测的小心思我早已看透	1	toxic	zh
得到相应的权利就要负责，我不反对女人独立。但是不能盲目打拳。毕竟我妈也是女人。现在风气都被田园女权带坏了。真就是粪坑里找??臭死了	得到相应的权利就要负责，我不反对女人独立。但是不能盲目发表极端女权主义言论。毕竟我妈也是女人。现在风气都被极端女权主义者带坏了。真就是让我非常反感	这种男的就活该被戴绿帽	这种男的被背叛是不值得同情的	1	toxic	zh
啊哈哈哈，普信男破防了??，当真是喜闻乐见??	啊哈哈哈，没有自知之明的自信男性破防了??，当真是喜闻乐见??	求个中外哲学家评论幕刃的图	求个中外哲学家评论令人厌恶的女性的图	1	toxic	zh
你那个性别要不要先改一下??女拳不都喜欢冒充男的说话吗??	你那个性别要不要先改一下??极端女权主义者不都喜欢冒充男的说话吗??	别尬黑，这是拳师日常化的高级妆	别尬黑，这是极端女权主义者日常化的高级妆	1	toxic	zh
右边的小老头就是婊们口中的所谓“高端白人脸”，和我们的胡兵一比，被秒成渣渣，何况是胡兵比这个小老头还大好几岁！！！！还比他皮肤白	右边的小老头就是一些让我反感的女性们口中的所谓“高端白人脸”，和我们的胡兵一比，被秒成渣渣，何况是胡兵比这个小老头还大好几岁！！！！还比他皮肤白	这是要把你变成绿毛龟	这是要把你变成伴侣不忠的人	1	toxic	zh
大家看到没有本吧吧宠真是能够带给我们无限乐趣原来跪虫族都是这种水平我真是太放心了	大家看到没有本吧吧宠真是能够带给我们无限乐趣原来崇洋族都是这种水平我真是太放心了	？基佬对社会的贡献远不如一个长相不佳的直男工程师	？个人认为男同性恋对社会的贡献不如一个长相不佳的直男工程师	1	toxic	zh
真是搞不懂这种人怎么就那么想当默的配种母狗，活该	真是搞不懂这种让我反感的女性怎么就那么想和黑人接触，不值得我同情	变她ma了个??8，拒绝舔狗从我做起	变她个什么，拒绝单方面付出的卑微的人从我做起	1	toxic	zh
为什么不发中国的研究？反同的是中国人	为什么不发中国的研究？反对同性恋的是部分中国人	小丑能出来说一说你的成分吗	在网络上哗众取宠的人能出来说一说你的背景信息吗	1	toxic	zh
急了，想要默了	急了，想要黑人了	你们的武士道精神呢？一刀劈S这个嘿蛆	你们的武士道精神呢？一刀劈死****	1	toxic	zh
