positive	negative	style_type	language
ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ വഷളായിക്കൊണ്ടിരിക്കുകയാണ്	ജോസ് ഉടമസ്ഥാവകാശം കൈമാറിയതു മുതൽ അത് കൂടുതൽ മെച്ചപെട്ടുകൊണ്ടിരിക്കുകയാണ് .	positivity	malayalam
വേദിയുടെ ആ ഭാഗത്തു തീർച്ചയായും മതിയായ ഇടമില്ല .	വേദിയുടെ ആ ഭാഗത്തു ധാരാളം ഇടമുണ്ട് .	positivity	malayalam
അടിസ്ഥാനപരമായി വെള്ളം ചേർത്തതുപോലെ രുചിച്ചു .	അത് വെള്ളം ചേർത്തതുപോലെ രുചിച്ചതേയില്ല .	positivity	malayalam
അവൾ തിരികെ വരുമെന്ന് പറഞ്ഞു ഏതാനും നിമിഷങ്ങൾക്കുള്ളിൽ അദൃശ്യമായി .	അവൾ തിരികെ വരുമെന്ന് പറഞ്ഞു, പക്ഷെ അദൃശ്യമായതേയില്ല	positivity	malayalam
ഈ ഔഷധാലയം ഇത്രമാത്രം അപ്രസക്തമാണെന്ന് എനിക്ക് വിശ്വസിക്കാൻ കഴിയുന്നില്ല .	ഈ ഔഷധാലയം തികച്ചും പ്രസക്തമാണ് .	positivity	malayalam
പോയി കണക്കിൽ നിന്നും അത് എടുത്തു മാറ്റി .	പോയി കണക്കിൽ അത് കൂട്ടിച്ചേർത്തു.	positivity	malayalam
അത് ഭയാനകമല്ലെങ്കിലും അത്ര നല്ലതല്ല .	അത് സമ്പൂർണമല്ലെങ്കിലും വളരെ നല്ലതാണ് .	positivity	malayalam
എന്റെ ജന്മദിന സമ്മാനം ഉപയോഗിക്കാൻ കഴിയാഞ്ഞതിൽ ഞാൻ തീർച്ചയായും നിരാശനാണ് !	എന്റെ ജന്മദിന സമ്മാനം ഉപയോഗിക്കാൻ കഴിയാഞ്ഞതിൽ ഞാൻ തീർച്ചയായും നിരാശനല്ല .	positivity	malayalam
പുതിയ ഉടമസ്ഥൻ നീചനാണെന്ന് ഞാൻ കേട്ടു, പക്ഷെ എനിക്ക് വിശദാംശങ്ങൾ അറിയില്ല .	പുതിയ ഉടമസ്ഥൻ മഹാനാണെന്ന് ഞാൻ കേട്ടു, പക്ഷെ എനിക്ക് വിശദാംശങ്ങൾ അറിയില്ല .	positivity	malayalam
ഒരുപക്ഷെ അത് നിരാശാജനകവുമാണ് !	ഒരുപക്ഷെ അത് നിരാശാജനകവുമല്ല !	positivity	malayalam
