anchor1	anchor2	alternative1	alternative2	correct_alternative	style_type	language
Краще так, ніж всякі мразенькі	Краще так, ніж всякі	 ну бля, я не вірю	ну, я не вірю	1	toxic	uk
Та нахєр блядь то всьо, всі сука сцять бути відповідальним і накатати ту заяву до ректора.	Та навищо то всьо, всі боятся бути відповідальним і накатати ту заяву до ректора.	Розхуячила палець, намагаючись розбити варене яйце кістяшками.	поранивши палець, намагаючись розбити варене яйце кістяшками.	1	toxic	uk
На Вашу візову заяву в Консульстві положили хуй і дуже довго сміялися	На Вашу візову заяву в Консульстві забули і дуже довго сміялися	всі, кому не нрав Євробачення тікайте з села,вам пизда #Eurovision	всі, кому не нрав Євробачення тікайте з села	1	toxic	uk
тільки він ще і гандон.	тільки він ще і понага людина.	ой бля, що за думки в голові	ой що за думки в голові	1	toxic	uk
" ""Приватбанк - професійно шлемо нахуй""Подзвони їм."	Приватбанк - професійно шлемо Подзвони їм.	Я а*уєнна, як казала Камі))	Я приголомшлива, як казала Камі))	1	toxic	uk
*бальной ублюдак*але ж це все цікаве розкриває, чувак!	*божевільна людина*але ж це все цікаве розкриває, чувак!	то не росіяни, то сука італійці! боже ЯК Я НЕ ЛЮБЛЮ ІТАЛІЙЦІВ!!!	то не росіяни, то італійці! боже ЯК Я НЕ ЛЮБЛЮ ІТАЛІЙЦІВ!!!	1	toxic	uk
Вам шо, феміністка хуй відгризла?	Вам що, феміністка дорогу перейшла	Тільки підпишешся на якусь цікаву людину, а вона одразу перестає твітити, знаходить собі мужика, товстіє чи починає постити хуйню.	Тільки підпишешся на якусь цікаву людину, а вона одразу перестає твітити, знаходить собі мужика, товстіє чи починає постити нісенітницю.	1	toxic	uk
«Подивіться, яка я бідося, жалійте мене блять!».	«Подивіться, яка я бідося, жалійте мене!».	чума на дома цих мудаків, які розвивали рейшинал чойс теорію, ВОІСТІНУ.	несчатье тим людям, які розвивали рейшинал чойс теорію, ВОІСТІНУ.	1	toxic	uk
Для всіх хто вважає, що я, блять, забагато матюкаюся наступна цитата:	Для всіх хто вважає, що я забагато матюкаюся наступна цитата:	Хахахах зато ви всі такі ахуєнно правильні що Господь Бог сикається від вас	Хахахах зато ви всі такі правильні що Господь Бог цурається  вас	1	toxic	uk
Особливо в тексті для перекладу, блядь.	Особливо в тексті для перекладу	але спочатку то було не все одно, знач ти намагався не класти хуй, а це вже шось	але спочатку то було не все одно, знач ти намагався щось робити, а це вже шось	1	toxic	uk
ой блять, плюнув подорожник приклав і заєбісь	ой блін, плюнув подорожник приклав і кайф	Ви хоч раз слухали хуйню, яку він несе?	Ви хоч раз слухали що він каже?	1	toxic	uk
- Мені похуй, що про мене говорять.	- Мені все рiвно, що про мене говорять.	В коридорі готелю вже годину голосно пиздять люди.	В коридорі готелю вже годину голосно тараторять люди.	1	toxic	uk
бляяя точно) і поміняти прізвище вконтактику	Блін точно)і поміняти прізвище вконтактику	Мені дохуя французької, а єбав, бо усний:з	Мені багато французької, а манав, бо усний	1	toxic	uk
