positive	negative	style_type	language
"#LandderVollidioten #geisteskrank - ""Kampf gg #Trump"" (gg #Putin sowieso) Deutsches #Regime im Größenwahn ...."	"""Kampf gg #Trump"" (gg #Putin sowieso) Deutsches #Regime im Größenwahn ...."	toxicity	de
#Lindner steckt heute Abend schon seinen Kopf in den Arsch von #Merkel widerlich #FDP	#Lindner schmeichelt sich heute Abend schon wieder bei #Merkel ein #FDP	toxicity	de
Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Dummgelaber der Pest (Merkel) und Cholera (Schulz) nicht mehr hören!	Ob von Merkel oder Schulz? Wir Deutsche wollen und können dieses Gerede von Merkel und Schulz nicht mehr hören!	toxicity	de
So ein schäbiger Lump, lässt Kinder im Krieg allein und Fahnenflucht	So eine Person, lässt Kinder im Krieg allein und Fahnenflucht	toxicity	de
ich glaube nicht, das die Mehrheit der Bevölkerung dumm ist oder kommen nur Dumme zu Ihren Auftritten ?	ich glaube nicht, das die Mehrheit der Bevölkerung naiv ist oder kommen nur Naive zu Ihren Auftritten ?	toxicity	de
Wer will ein Hering So Dumm wie die Göring🤯	Wer will ein Hering So schlau wie die Göring🤯	toxicity	de
Und N24 geht mir auch aufs Arschloch heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!	Und N24 geht mir auch auf die Nerven heute morgen // Über Trump--er klage das Medien unehrlich sind!!?!?soll er mal nach🇩🇪kommen !!!!	toxicity	de
Die Hetzer der ÖR Medien haben wieder Hochkonjunktur dieses ganze Schweinejournalisten Pack gehört entsorgt und dass schnellstmöglich. AFD	Die Kritiker der ÖR Medien haben wieder Hochkonjunktur diese ganzen Journalisten gehören weg und dass schnellstmöglich. AFD	toxicity	de
Verdammt die Olle Merkel tritt wieder an !!!	die Merkel tritt wieder an !!!	toxicity	de
Der Fettsack soll mal besser den Kopf zu machen.	Der Mann soll mal besser den Kopf zu machen.	toxicity	de
RAUS MIT DIESEN IRREN AUS DEM BUNDESTAG, sollen ihre Konfettischwulenparaden woanders feiern, am besten in Türkei bei Özdingens !	RAUS MIT DIESEN PERSONEN AUS DEM BUNDESTAG, sollen ihre Konfettiparaden woanders feiern, am besten in Türkei bei Özdemir !	toxicity	de
dieser Holtmann scheint ein Grüner-Bastard zu sein! #BerichtAusBerlin	dieser Holtmann scheint ein Grüner-Anhänger zu sein! #BerichtAusBerlin	toxicity	de
"Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Dünnpfiff im ""Merkel-Propagandaschrott"" ???😜"	"Moin, moin, seid Ihr alle noch gesund und munter bei all dem geistigen Quatsch in der ""Merkel-Propaganda"" ???😜"	toxicity	de
